Gene,Gene_wo_suffix,PA14_locus,pae,paev,paei,pau,pap,pag,paf,pnc,paeb,pdk,psg,prp,paep,paer,paem,pael,paes,paeu,paeg,paec,paeo
PA14_12750,PA14,PA14_12750,,,,,,,,,,,,,,,,,,,,,
PA14_12760,PA14,PA14_12760,,,,,,,,,,,,,,,,,,,,,
PA14_12770,PA14,PA14_12770,,,,,,,,,,,,,,,,,,,,,
PA14_12780,PA14,PA14_12780,,,,pau02020,,,,,,,,,,,,,,,,,
PA14_12810,PA14,PA14_12810,,,,,,,,,,,,,,,,,,,,,
PA14_12820,PA14,PA14_12820,,,,pau02020,,,,,,,,,,,,,,,,,
PA14_01190,PA14,PA14_01190,,,,"pau00061,pau00780,pau01100,pau01212,pau01240",,,,,,,,,,,,,,,,,
PA14_12840,PA14,PA14_12840,,,,,,,,,,,,,,,,,,,,,
PA14_12850,PA14,PA14_12850,,,,,,,,,,,,,,,,,,,,,
PA14_12860,PA14,PA14_12860,,,,,,,,,,,,,,,,,,,,,
tesB,tesB,PA14_12870,,,,,,,,,,,,,,,,,,,,,paeo01040
PA14_12890,PA14,PA14_12890,,,,,,,,,,,,,,,,,,,,,
PA14_12900,PA14,PA14_12900,,,,,,,,,,,,,,,,,,,,,
PA14_12910,PA14,PA14_12910,,,,,,,,,,,,,,,,,,,,,
PA14_12920,PA14,PA14_12920,,,,"pau00920,pau02010",,,,,,,,,,,,,,,,,
PA14_12940,PA14,PA14_12940,,,,"pau00920,pau02010",,,,,,,,,,,,,,,,,
PA14_12960,PA14,PA14_12960,,,,"pau00920,pau02010",,,,,,,,,,,,,,,,,
PA14_01200,PA14,PA14_01200,,,,,,,,,,,,,,,,,,,,,
tauD,tauD,PA14_12970,"pae00430,pae00920","paev00430,paev00920","paei00430,paei00920","pau00430,pau00920","pap00430,pap00920","pag00430,pag00920","paf00430,paf00920","pnc00430,pnc00920","paeb00430,paeb00920","pdk00430,pdk00920","psg00430,psg00920","prp00430,prp00920",,,"paem00430,paem00920","pael00430,pael00920",,,,,"paeo00430,paeo00920"
PA14_12980,PA14,PA14_12980,,,,,,,,,,,,,,,,,,,,,
PA14_12990,PA14,PA14_12990,,,,,,,,,,,,,,,,,,,,,
PA14_13000,PA14,PA14_13000,,,,,,,,,,,,,,,,,,,,,
PA14_13010,PA14,PA14_13010,,,,pau02010,,,,,,,,,,,,,,,,,
cioA,cioA,PA14_13030,,,,,,,,,,,,,,,,,,,,,
cioB,cioB,PA14_13040,,,,,,,,,,,,,,,,,,,,,
PA14_13050,PA14,PA14_13050,,,,,,,,,,,,,,,,,,,,,
PA14_13060,PA14,PA14_13060,,,,,,,,,,,,,,,,,,,,,
PA14_01220,PA14,PA14_01220,,,,,,,,,,,,,,,,,,,,,
PA14_13070,PA14,PA14_13070,,,,,,,,,,,,,,,,,,,,,
PA14_13090,PA14,PA14_13090,,,,"pau00071,pau00280,pau00310,pau00362,pau00380,pau00620,pau00630,pau00650,pau00900,pau01100,pau01110,pau01120,pau01200,pau01212,pau02020",,,,,,,,,,,,,,,,,
PA14_13110,PA14,PA14_13110,,,,,,,,,,,,,,,,,,,,,
PA14_13130,PA14,PA14_13130,,,,,,,,,,,,,,,,,,,,,
PA14_13140,PA14,PA14_13140,,,,,,,,,,,,,,,,,,,,,
PA14_13150,PA14,PA14_13150,,,,,,,,,,,,,,,,,,,,,
PA14_13170,PA14,PA14_13170,,,,,,,,,,,,,,,,,,,,,
PA14_13190,PA14,PA14_13190,,,,,,,,,,,,,,,,,,,,,
PA14_01230,PA14,PA14_01230,,,,,,,,,,,,,,,,,,,,,
PA14_13200,PA14,PA14_13200,,,,,,,,,,,,,,,,,,,,,
PA14_13210,PA14,PA14_13210,,,,,,,,,,,,,,,,,,,,,
PA14_13220,PA14,PA14_13220,,,,,,,,,,,,,,,,,,,,,
moaC,moaC,PA14_13230,"pae00790,pae01100,pae01240,pae04122","paev00790,paev01100,paev01240,paev04122","paei00790,paei01100,paei01240,paei04122","pau00790,pau01100,pau01240,pau04122","pap00790,pap01100,pap01240,pap04122","pag00790,pag01100,pag01240,pag04122","paf00790,paf01100,paf01240,paf04122","pnc00790,pnc01100,pnc01240,pnc04122","paeb00790,paeb01100,paeb01240,paeb04122","pdk00790,pdk01100,pdk01240,pdk04122","psg00790,psg01100,psg01240,psg04122","prp00790,prp01100,prp01240,prp04122","paep00790,paep01100,paep01240,paep04122",,"paem00790,paem01100,paem01240,paem04122","pael00790,pael01100,pael01240,pael04122",,"paeu00790,paeu01100,paeu01240,paeu04122","paeg00790,paeg01100,paeg01240,paeg04122","paec00790,paec01100,paec01240,paec04122","paeo00790,paeo01100,paeo01240,paeo04122"
moaD,moaD,PA14_13240,pae04122,paev04122,paei04122,pau04122,,,paf04122,pnc04122,paeb04122,,,,,,,,,paeu04122,,paec04122,paeo04122
moaE,moaE,PA14_13250,"pae00790,pae01100,pae01240,pae04122",,,"pau00790,pau01100,pau01240,pau04122","pap00790,pap01100,pap01240,pap04122","pag00790,pag01100,pag01240,pag04122","paf00790,paf01100,paf01240,paf04122","pnc00790,pnc01100,pnc01240,pnc04122",,,,,,,,,,,,,
moaB1,moaB1,PA14_13260,,,,"pau00790,pau01100,pau01240,pau04122","pap00790,pap01100,pap01240,pap04122","pag00790,pag01100,pag01240,pag04122","paf00790,paf01100,paf01240,paf04122","pnc00790,pnc01100,pnc01240,pnc04122","paeb00790,paeb01100,paeb01240,paeb04122",,,,,,,,,,,,
moeA1,moeA1,PA14_13280,,,,,,,,,,,,,,,,,,,,,
PA14_13290,PA14,PA14_13290,,,,,,,,,,,,,,,,,,,,,
PA14_13300,PA14,PA14_13300,,,,,,,,,,,,,,,,,,,,,
tag,tag,PA14_00110,,,,,,,,pnc03410,,,,,,,,,,paeu03410,,paec03410,paeo03410
PA14_01240,PA14,PA14_01240,,,,"pau00910,pau01100",,,,,,,,,,,,,,,,,
PA14_13320,PA14,PA14_13320,,,,,,,,,,,,,,,,,,,,,
PA14_13330,PA14,PA14_13330,,,,"pau00790,pau01100,pau01240,pau02020",,,,,,,,,,,,,,,,,
PA14_13340,PA14,PA14_13340,,,,,,,,,,,,,,,,,,,,,
PA14_13350,PA14,PA14_13350,,,,,,,,,,,,,,,,,,,,,
PA14_13360,PA14,PA14_13360,,,,,,,,,,,,,,,,,,,,,
PA14_13370,PA14,PA14_13370,,,,,,,,,,,,,,,,,,,,,
PA14_13380,PA14,PA14_13380,,,,,,,,,,,,,,,,,,,,,
PA14_13390,PA14,PA14_13390,,,,,,,,,,,,,,,,,,,,,
prfC,prfC,PA14_13410,,,,,,,,,,,,,,,,,,,,,
PA14_13420,PA14,PA14_13420,,,,,,,,,,,,,,,,,,,,,
PA14_01250,PA14,PA14_01250,,,,,,,,,,,,,,,,,,,,,
fecA,fecA,PA14_13430,,,,,,,,,,,,,,,,,,,,,
PA14_13450,PA14,PA14_13450,,,,pau02020,,,,,,,,,,,,,,,,,
PA14_13460,PA14,PA14_13460,,,,pau02020,,,,,,,,,,,,,,,,,
PA14_13470,PA14,PA14_13470,,,,,,,,,,,,,,,,,,,,,
PA14_13490,PA14,PA14_13490,,,,,,,,,,,,,,,,,,,,,
PA14_13500,PA14,PA14_13500,,,,,,,,,,,,,,,,,,,,,
PA14_13510,PA14,PA14_13510,,,,,,,,,,,,,,,,,,,,,
PA14_13520,PA14,PA14_13520,,,,,,,,,,,,,,,,,,,,,
PA14_13530,PA14,PA14_13530,,,,,,,,,,,,,,,,,,,,,
PA14_13560,PA14,PA14_13560,,,,,,,,,,,,,,,,,,,,,
PA14_13580,PA14,PA14_13580,,,,pau02010,,,,,,,,,,,,,,,,,
PA14_13590,PA14,PA14_13590,,,,pau02010,,,,,,,,,,,,,,,,,
PA14_13600,PA14,PA14_13600,,,,pau02010,,,,,,,,,,,,,,,,,
PA14_13610,PA14,PA14_13610,,,,pau02010,,,,,,,,,,,,,,,,,
nhaP,nhaP,PA14_13620,,,,,,,,,,,,,,,,,,,,,
PA14_13630,PA14,PA14_13630,,,,,,,,,,,,,,,,,,,,,
PA14_13650,PA14,PA14_13650,,,,,,,,,,,,,,,,,,,,,
PA14_13660,PA14,PA14_13660,,,,,,,,,,,,,,,,,,,,,
PA14_13670,PA14,PA14_13670,,,,,,,,,,,,,,,,,,,,,
PA14_13680,PA14,PA14_13680,,,,,,,,,,,,,,,,,,,,,
PA14_13690,PA14,PA14_13690,,,,,,,,,,,,,,,,,,,,,
PA14_13710,PA14,PA14_13710,,,,,,,,,,,,,,,,,,,,,
PA14_13720,PA14,PA14_13720,,,,,,,,,,,,,,,,,,,,,
narL,narL,PA14_13730,pae02020,,,pau02020,pap02020,pag02020,paf02020,pnc02020,paeb02020,,,,,,,,,paeu02020,,,
narX,narX,PA14_13740,pae02020,,,pau02020,pap02020,pag02020,paf02020,pnc02020,paeb02020,,,,,,,,,paeu02020,,,
narK1,narK1,PA14_13750,pae00910,,,pau00910,pap00910,pag00910,paf00910,pnc00910,paeb00910,,,,,,,,,,,,
narK2,narK2,PA14_13770,pae00910,,,,,,,pnc00910,paeb00910,,,,,,,,,,,,
narG,narG,PA14_13780,"pae00910,pae01100,pae01120,pae02020",,,"pau00910,pau01100,pau01120,pau02020",,"pag00910,pag01100,pag01120,pag02020",,,,,,,,,,,,,,,
narH,narH,PA14_13800,"pae00910,pae01100,pae01120,pae02020","paev00910,paev01100,paev01120,paev02020","paei00910,paei01100,paei01120,paei02020","pau00910,pau01100,pau01120,pau02020","pap00910,pap01100,pap01120,pap02020","pag00910,pag01100,pag01120,pag02020","paf00910,paf01100,paf01120,paf02020","pnc00910,pnc01100,pnc01120,pnc02020","paeb00910,paeb01100,paeb01120,paeb02020",,,,,,,,,,,,
coxB,coxB,PA14_01290,,,,,,,,,,,,,,,,,,,,,
narJ,narJ,PA14_13810,,,,,,,,,,,,,,,,,,,,,
narI,narI,PA14_13830,,,,,,,,,,,,,,,,,,,,,
PA14_13840,PA14,PA14_13840,,,,,,,,,,,,,,,,,,,,,
moaA,moaA,PA14_13850,,"paev00790,paev01100,paev01240,paev04122","paei00790,paei01100,paei01240,paei04122","pau00790,pau01100,pau01240,pau04122",,,"paf00790,paf01100,paf01240,paf04122","pnc00790,pnc01100,pnc01240,pnc04122","paeb00790,paeb01100,paeb01240,paeb04122","pdk00790,pdk01100,pdk01240,pdk04122","psg00790,psg01100,psg01240,psg04122",,,,,,,"paeu00790,paeu01100,paeu01240,paeu04122",,"paec00790,paec01100,paec01240,paec04122","paeo00790,paeo01100,paeo01240,paeo04122"
PA14_13860,PA14,PA14_13860,,,,,,,,,,,,,,,,,,,,,
PA14_13870,PA14,PA14_13870,,,,,,,,,,,,,,,,,,,,,
PA14_13890,PA14,PA14_13890,,,,,,,,,,,,,,,,,,,,,
