Gene,Gene_wo_suffix,PA14_locus,pae,paev,paei,pau,pap,pag,paf,pnc,paeb,pdk,psg,prp,paep,paer,paem,pael,paes,paeu,paeg,paec,paeo
glyA2,glyA2,PA14_33010,"pae00260,pae00460,pae00630,pae00670,pae00680,pae01100,pae01110,pae01120,pae01200,pae01230,pae01240","paev00260,paev00460,paev00630,paev00670,paev00680,paev01100,paev01110,paev01120,paev01200,paev01230,paev01240","paei00260,paei00460,paei00630,paei00670,paei00680,paei01100,paei01110,paei01120,paei01200,paei01230,paei01240","pau00260,pau00460,pau00630,pau00670,pau00680,pau01100,pau01110,pau01120,pau01200,pau01230,pau01240","pap00260,pap00460,pap00630,pap00670,pap00680,pap01100,pap01110,pap01120,pap01200,pap01230,pap01240","pag00260,pag00460,pag00630,pag00670,pag00680,pag01100,pag01110,pag01120,pag01200,pag01230,pag01240","paf00260,paf00460,paf00630,paf00670,paf00680,paf01100,paf01110,paf01120,paf01200,paf01230,paf01240","pnc00260,pnc00460,pnc00630,pnc00670,pnc00680,pnc01100,pnc01110,pnc01120,pnc01200,pnc01230,pnc01240","paeb00260,paeb00460,paeb00630,paeb00670,paeb00680,paeb01100,paeb01110,paeb01120,paeb01200,paeb01230,paeb01240",,,,,,,,,,,,
sdaA,sdaA,PA14_33030,,,,,,"pag00260,pag00270,pag01100,pag01110,pag01200,pag01230","paf00260,paf00270,paf01100,paf01110,paf01200,paf01230","pnc00260,pnc00270,pnc01100,pnc01110,pnc01200,pnc01230","paeb00260,paeb00270,paeb01100,paeb01110,paeb01200,paeb01230",,,,,,,,,,,,
gcvT2,gcvT2,PA14_33040,"pae00260,pae00630,pae00670,pae01100,pae01110,pae01200",,,,,,,,,,,,,,,,,"paeu00260,paeu00630,paeu00670,paeu01100,paeu01110,paeu01200",,,
PA14_33050,PA14,PA14_33050,,,,,,,,,,,,,,,,,,,,,
PA14_33060,PA14,PA14_33060,,,,,,,,,,,,,,,,,,,,,
PA14_33070,PA14,PA14_33070,,,,,,,,,,,,,,,,,,,,,
PA14_33080,PA14,PA14_33080,,,,,,,,,,,,,,,,,,,,,
PA14_33110,PA14,PA14_33110,,,,,,,,,,,,,,,,,,,,,
PA14_33120,PA14,PA14_33120,,,,,,,,,,,,,,,,,,,,,
PA14_33130,PA14,PA14_33130,,,,,,,,,,,,,,,,,,,,,
PA14_33150,PA14,PA14_33150,,,,,,,,,,,,,,,,,,,,,
PA14_33160,PA14,PA14_33160,,,,,,,,,,,,,,,,,,,,,
PA14_33170,PA14,PA14_33170,,,,,,,,,,,,,,,,,,,,,
PA14_33190,PA14,PA14_33190,,,,,,,,,,,,,,,,,,,,,
PA14_33200,PA14,PA14_33200,,,,,,,,,,,,,,,,,,,,,
PA14_33220,PA14,PA14_33220,,,,,,,,,,,,,,,,,,,,,
PA14_33230,PA14,PA14_33230,,,,,,,,,,,,,,,,,,,,,
PA14_33240,PA14,PA14_33240,,,,,,,,,,,,,,,,,,,,,
PA14_33250,PA14,PA14_33250,,,,,,,,,,,,,,,,,,,,,
pvdS,pvdS,PA14_33260,,,,,,,,,,,,,,,,,,,,,
pvdG,pvdG,PA14_33270,,,,,,,,,,,,,,,,,,,,,
pvdL,pvdL,PA14_33280,,,,,,,,,,,,,,,,,,,,,
PA14_33290,PA14,PA14_33290,,,,,,,,,,,,,,,,,,,,,
PA14_33300,PA14,PA14_33300,,,,,,,,,,,,,,,,,,,,,
PA14_33310,PA14,PA14_33310,,,,,,,,,,,,,,,,,,,,,
PA14_33320,PA14,PA14_33320,,,,,,,,,,,,,,,,,,,,,
PA14_33330,PA14,PA14_33330,,,,,,,,,,,,,,,,,,,,,
PA14_33340,PA14,PA14_33340,,,,,,,,,,,,,,,,,,,,,
PA14_33350,PA14,PA14_33350,,,,,,,,,,,,,,,,,,,,,
PA14_33360,PA14,PA14_33360,,,,,,,,,,,,,,,,,,,,,
PA14_33370,PA14,PA14_33370,,,,,,,,,,,,,,,,,,,,,
PA14_33380,PA14,PA14_33380,,,,,,,,,,,,,,,,,,,,,
PA14_33410,PA14,PA14_33410,,,,,,,,,,,,,,,,,,,,,
PA14_33420,PA14,PA14_33420,,,,,,,,,,,,,,,,,,,,,
PA14_33430,PA14,PA14_33430,,,,,,,,,,,,,,,,,,,,,
PA14_33440,PA14,PA14_33440,,,,,,,,,,,,,,,,,,,,,
treA,treA,PA14_33450,"pae00500,pae01100,pae01110",,,,,,,,,,,,,,,,,"paeu00500,paeu01100,paeu01110",,,
PA14_33460,PA14,PA14_33460,,,,,,,,,,,,,,,,,,,,,
sndH,sndH,PA14_33480,,,,,,,,,,,,,,,,,,,,,
pvdH,pvdH,PA14_33500,,,,,,,,,,,,,,,,,,,,,
PA14_33510,PA14,PA14_33510,,,,,,,,,,,,,,,,,,,,,
PA14_33520,PA14,PA14_33520,,,,,,,,,,,,,,,,,,,,,
PA14_33530,PA14,PA14_33530,,,,,,,,,,,,,,,,,,,,,
PA14_33540,PA14,PA14_33540,,,,pau02010,,,,,,,,,,,,,,,,,
PA14_33550,PA14,PA14_33550,,,,pau02010,,,,,,,,,,,,,,,,,
PA14_33560,PA14,PA14_33560,,,,pau02010,,,,,,,,,,,,,,,,,
PA14_33570,PA14,PA14_33570,,,,,,,,,,,,,,,,,,,,,
PA14_33580,PA14,PA14_33580,,,,,,,,,,,,,,,,,,,,,
PA14_00310,PA14,PA14_00310,,,,,,,,,,,,,,,,,,,,,
PA14_33590,PA14,PA14_33590,,,,,,,,,,,,,,,,,,,,,
PA14_33600,PA14,PA14_33600,,,,,,,,,,,,,,,,,,,,,
PA14_33610,PA14,PA14_33610,,,,,,,,,,,,,,,,,,,,,
pvdJ,pvdJ,PA14_33630,,,,,,,,,,,,,,,,,,,,,
pvdD,pvdD,PA14_33650,,,,,,,,,,,,,,,,,,,,,
fpvA,fpvA,PA14_33680,,,,,,,,,,,,,,,,,,,,,
pvdE,pvdE,PA14_33690,pae02010,,,pau02010,,pag02010,paf02010,,,,,,,,,,,paeu02010,,,
pvdF,pvdF,PA14_33700,,,,,,,,,,,,,,,,,,,,,
pvdO,pvdO,PA14_33710,,,,,,,,,,,,,,,,,,,,,
pvdN,pvdN,PA14_33720,,,,,,,,,,,,,,,,,,,,,
PA14_33730,PA14,PA14_33730,,,,,,,,,,,,,,,,,,,,,
pvdP,pvdP,PA14_33740,,,,,,,,,,,,,,,,,,,,,
PA14_33750,PA14,PA14_33750,,,,,,,,,,,,,,,,,,,,,
PA14_33760,PA14,PA14_33760,,,,,,,,,,,,,,,,,,,,,
PA14_33770,PA14,PA14_33770,,,,,,,,,,,,,,,,,,,,,
PA14_33780,PA14,PA14_33780,,,,pau02020,,,,,,,,,,,,,,,,,
PA14_33800,PA14,PA14_33800,,,,,,,,,,,,,,,,,,,,,
pvdA,pvdA,PA14_33810,,,,,,,,,,,,,,,,,,,,,
pvdQ,pvdQ,PA14_33820,,,,,,,,,,,,,,,,,,,,,
PA14_03310,PA14,PA14_03310,,,,,,,,,,,,,,,,,,,,,
PA14_33830,PA14,PA14_33830,,,,,,,,,,,,,,,,,,,,,
PA14_33840,PA14,PA14_33840,,,,,,,,,,,,,,,,,,,,,
lldA,lldA,PA14_33860,,,,,,,,,,,,,,,,,,,,,
PA14_33870,PA14,PA14_33870,,,,,,,,,,,,,,,,,,,,,
PA14_33880,PA14,PA14_33880,,,,,,,,,,,,,,,,,,,,,
PA14_33890,PA14,PA14_33890,,,,,,,,,,,,,,,,,,,,,
PA14_33900,PA14,PA14_33900,,,,,,,,,,,,,,,,,,,,,
PA14_33910,PA14,PA14_33910,,,,,,,,,,,,,,,,,,,,,
PA14_33920,PA14,PA14_33920,,,,pau02020,,,,,,,,,,,,,,,,,
PA14_33930,PA14,PA14_33930,,,,,,,,,,,,,,,,,,,,,
PA14_33940,PA14,PA14_33940,,,,,,,,,,,,,,,,,,,,,
PA14_33960,PA14,PA14_33960,,,,pau03070,,,,,,,,,,,,,,,,,
PA14_33970,PA14,PA14_33970,,,,,,,,,,,,,,,,,,,,,
PA14_33980,PA14,PA14_33980,,,,,,,,,,,,,,,,,,,,,
PA14_33990,PA14,PA14_33990,,,,,,,,,,,,,,,,,,,,,
PA14_34000,PA14,PA14_34000,,,,,,,,,,,,,,,,,,,,,
PA14_34010,PA14,PA14_34010,,,,,,,,,,,,,,,,,,,,,
PA14_34020,PA14,PA14_34020,,,,,,,,,,,,,,,,,,,,,
PA14_34030,PA14,PA14_34030,,,,"pau02025,pau03070",,,,,,,,,,,,,,,,,
PA14_34050,PA14,PA14_34050,,,,pau02025,,,,,,,,,,,,,,,,,
PA14_34070,PA14,PA14_34070,,,,pau02025,,,,,,,,,,,,,,,,,
PA14_34080,PA14,PA14_34080,,,,,,,,,,,,,,,,,,,,,
PA14_34100,PA14,PA14_34100,,,,pau02025,,,,,,,,,,,,,,,,,
PA14_34110,PA14,PA14_34110,,,,pau03070,,,,,,,,,,,,,,,,,
PA14_34130,PA14,PA14_34130,,,,"pau02025,pau03070",,,,,,,,,,,,,,,,,
PA14_34140,PA14,PA14_34140,,,,,,,,,,,,,,,,,,,,,
PA14_34150,PA14,PA14_34150,,,,,,,,,,,,,,,,,,,,,
PA14_34170,PA14,PA14_34170,,,,,,,,,,,,,,,,,,,,,
msuE,msuE,PA14_34180,,,,,,,,,,,,,,,,,,"paeu00740,paeu00920,paeu01100",,"paec00740,paec00920,paec01100",
PA14_03330,PA14,PA14_03330,,,,"pau00340,pau01100,pau01110,pau01230",,,,,,,,,,,,,,,,,
msuD,msuD,PA14_34190,"pae00920,pae01100",,,"pau00920,pau01100","pap00920,pap01100","pag00920,pag01100","paf00920,paf01100","pnc00920,pnc01100","paeb00920,paeb01100",,,,,,,,,"paeu00920,paeu01100",,,
PA14_34200,PA14,PA14_34200,,,,,,,,,,,,,,,,,,,,,
PA14_34210,PA14,PA14_34210,,,,,,,,,,,,,,,,,,,,,
PA14_34230,PA14,PA14_34230,,,,,,,,,,,,,,,,,,,,,
PA14_34250,PA14,PA14_34250,,,,pau00564,,,,,,,,,,,,,,,,,
PA14_34260,PA14,PA14_34260,,,,,,,,,,,,,,,,,,,,,
PA14_34270,PA14,PA14_34270,,,,,,,,,,,,,,,,,,,,,
PA14_34280,PA14,PA14_34280,,,,,,,,,,,,,,,,,,,,,
PA14_34290,PA14,PA14_34290,,,,,,,,,,,,,,,,,,,,,
PA14_34300,PA14,PA14_34300,,,,,,,,,,,,,,,,,,,,,
PA14_03340,PA14,PA14_03340,,,,,,,,,,,,,,,,,,,,,
PA14_34320,PA14,PA14_34320,,,,,,,,,,,,,,,,,,,,,
PA14_34330,PA14,PA14_34330,,,,"pau00920,pau01120",,,,,,,,,,,,,,,,,
mtlZ,mtlZ,PA14_34340,"pae00051,pae00500,pae00520,pae01100,pae01110",,,"pau00051,pau00500,pau00520,pau01100,pau01110","pap00051,pap00500,pap00520,pap01100,pap01110","pag00051,pag00500,pag00520,pag01100,pag01110","paf00051,paf00500,paf00520,paf01100,paf01110","pnc00051,pnc00500,pnc00520,pnc01100,pnc01110","paeb00051,paeb00500,paeb00520,paeb01100,paeb01110",,,,,,,,,"paeu00051,paeu00500,paeu00520,paeu01100,paeu01110",,,
mtlY,mtlY,PA14_34350,"pae00040,pae01100",,,"pau00040,pau01100",,"pag00040,pag01100","paf00040,paf01100","pnc00040,pnc01100","paeb00040,paeb01100",,,,,,,,,,,,
mtlD,mtlD,PA14_34360,"pae00051,pae01100",,,,,,,"pnc00051,pnc01100","paeb00051,paeb01100",,,,,,,,,,,"paec00051,paec01100",
PA14_34370,PA14,PA14_34370,,,,,,,,,,,,,,,,,,,,,
PA14_34390,PA14,PA14_34390,,,,pau02010,,,,,,,,,,,,,,,,,
PA14_34410,PA14,PA14_34410,,,,,,,,,,,,,,,,,,,,,
PA14_34420,PA14,PA14_34420,,,,,,,,,,,,,,,,,,,,,
mtlR,mtlR,PA14_34440,,,,,,,,,,,,,,,,,,,,,
PA14_34450,PA14,PA14_34450,,,,,,,,,,,,,,,,,,,,,
PA14_34460,PA14,PA14_34460,,,,,,,,,,,,,,,,,,,,,
PA14_34490,PA14,PA14_34490,,,,,,,,,,,,,,,,,,,,,
PA14_34500,PA14,PA14_34500,,,,,,,,,,,,,,,,,,,,,
PA14_34510,PA14,PA14_34510,,,,,,,,,,,,,,,,,,,,,
PA14_34520,PA14,PA14_34520,,,,,,,,,,,,,,,,,,,,,
PA14_34540,PA14,PA14_34540,,,,,,,,,,,,,,,,,,,,,
PA14_34550,PA14,PA14_34550,,,,,,,,,,,,,,,,,,,,,
PA14_34580,PA14,PA14_34580,,,,,,,,,,,,,,,,,,,,,
PA14_03360,PA14,PA14_03360,,,,,,,,,,,,,,,,,,,,,
PA14_34600,PA14,PA14_34600,,,,,,,,,,,,,,,,,,,,,
PA14_34610,PA14,PA14_34610,,,,,,,,,,,,,,,,,,,,,
gnuT,gnuT,PA14_34630,,,,,,,,,,,,,,,,,,,,,
PA14_34640,PA14,PA14_34640,,,,"pau00030,pau01100,pau01110,pau01120,pau01200",,,,,,,,,,,,,,,,,
gntR,gntR,PA14_34660,,,,,,,,,,,,,,,,,,,,,
PA14_34670,PA14,PA14_34670,,,,,,,,,,,,,,,,,,,,,
PA14_34680,PA14,PA14_34680,,,,"pau00330,pau01100",,,,,,,,,,,,,,,,,
PA14_34690,PA14,PA14_34690,,,,,,,,,,,,,,,,,,,,,
PA14_34700,PA14,PA14_34700,,,,,,,,,,,,,,,,,,,,,
PA14_34710,PA14,PA14_34710,,,,,,,,,,,,,,,,,,,,,
PA14_34730,PA14,PA14_34730,,,,,,,,,,,,,,,,,,,,,
PA14_34740,PA14,PA14_34740,,,,,,,,,,,,,,,,,,,,,
PA14_34750,PA14,PA14_34750,,,,,,,,,,,,,,,,,,,,,
PA14_34770,PA14,PA14_34770,,,,"pau00920,pau02010",,,,,,,,,,,,,,,,,
PA14_34780,PA14,PA14_34780,,,,"pau00920,pau02010",,,,,,,,,,,,,,,,,
PA14_34790,PA14,PA14_34790,,,,"pau00920,pau02010",,,,,,,,,,,,,,,,,
PA14_34800,PA14,PA14_34800,,,,,,,,,,,,,,,,,,,,,
PA14_00320,PA14,PA14_00320,,,,,,,,,,,,,,,,,,,,,
PA14_34810,PA14,PA14_34810,,,,,,,,,,,,,,,,,,,,,
PA14_34820,PA14,PA14_34820,,,,,,,,,,,,,,,,,,,,,
PA14_34830,PA14,PA14_34830,,,,,,,,,,,,,,,,,,,,,
PA14_34840,PA14,PA14_34840,,,,,,,,,,,,,,,,,,,,,
PA14_34850,PA14,PA14_34850,,,,,,,,,,,,,,,,,,,,,
chiC,chiC,PA14_34870,,,,,,,,,,,,,,,,,,,,,
PA14_34880,PA14,PA14_34880,,,,,,,,,,,,,,,,,,,,,
PA14_34900,PA14,PA14_34900,,,,,,,,,,,,,,,,,,,,,
PA14_34920,PA14,PA14_34920,,,,,,,,,,,,,,,,,,,,,
PA14_34930,PA14,PA14_34930,,,,,,,,,,,,,,,,,,,,,
PA14_34940,PA14,PA14_34940,,,,,,,,,,,,,,,,,,,,,
PA14_34960,PA14,PA14_34960,,,,,,,,,,,,,,,,,,,,,
gcd,gcd,PA14_34970,"pae00030,pae01100,pae01110",,,"pau00030,pau01100,pau01110","pap00030,pap01100,pap01110","pag00030,pag01100,pag01110","paf00030,paf01100,paf01110","pnc00030,pnc01100,pnc01110","paeb00030,paeb01100,paeb01110",,,,,,,,,,,,
PA14_34990,PA14,PA14_34990,,,,,,,,,,,,,,,,,,,,,
PA14_35000,PA14,PA14_35000,,,,,,,,,,,,,,,,,,,,,
PA14_35010,PA14,PA14_35010,,,,,,,,,,,,,,,,,,,,,
PA14_35020,PA14,PA14_35020,,,,,,,,,,,,,,,,,,,,,
PA14_35030,PA14,PA14_35030,,,,,,,,,,,,,,,,,,,,,
PA14_35040,PA14,PA14_35040,,,,,,,,,,,,,,,,,,,,,
PA14_35050,PA14,PA14_35050,,,,,,,,,,,,,,,,,,,,,
PA14_35060,PA14,PA14_35060,,,,,,,,,,,,,,,,,,,,,
PA14_35070,PA14,PA14_35070,,,,,,,,,,,,,,,,,,,,,
PA14_35080,PA14,PA14_35080,,,,,,,,,,,,,,,,,,,,,
arsC,arsC,PA14_35100,,,,,,,,,,,,,,,,,,,,,
arsB,arsB,PA14_35110,,,,,,,,,,,,,,,,,,,,,
arsR,arsR,PA14_35130,,,,,,,,,,,,,,,,,,,,,
PA14_35140,PA14,PA14_35140,,,,,,,,,,,,,,,,,,,,,
PA14_35150,PA14,PA14_35150,,,,,,,,,,,,,,,,,,,,,
PA14_03380,PA14,PA14_03380,,,,,,,,,,,,,,,,,,,,,
PA14_35160,PA14,PA14_35160,,,,,,,,,,,,,,,,,,,,,
PA14_35170,PA14,PA14_35170,,,,,,,,,,,,,,,,,,,,,
pbpC,pbpC,PA14_35190,"pae00550,pae01501",,,"pau00550,pau01501","pap00550,pap01501","pag00550,pag01501","paf00550,paf01501","pnc00550,pnc01501","paeb00550,paeb01501",,,,,,,,,"paeu00550,paeu01501",,,
PA14_35200,PA14,PA14_35200,,,,,,,,,,,,,,,,,,,,,
PA14_35210,PA14,PA14_35210,,,,,,,,,,,,,,,,,,,,,
PA14_35230,PA14,PA14_35230,,,,,,,,,,,,,,,,,,,,,
PA14_35240,PA14,PA14_35240,,,,,,,,,,,,,,,,,,,,,
PA14_35250,PA14,PA14_35250,,,,,,,,,,,,,,,,,,,,,
PA14_35270,PA14,PA14_35270,,,,,,,,,,,,,,,,,,,,,
gnd,gnd,PA14_35290,,,,,,,,,,,,,,,,,,,,,
PA14_03400,PA14,PA14_03400,,,,,,,,,,,,,,,,,,,,,
PA14_35300,PA14,PA14_35300,,,,,,,,,,,,,,,,,,,,,
PA14_35320,PA14,PA14_35320,,,,"pau00030,pau00480,pau01100,pau01120",,,,,,,,,,,,,,,,,
PA14_35330,PA14,PA14_35330,,,,,,,,,,,,,,,,,,,,,
PA14_35340,PA14,PA14_35340,,,,"pau00030,pau01100,pau01120",,,,,,,,,,,,,,,,,
PA14_35360,PA14,PA14_35360,,,,,,,,,,,,,,,,,,,,,
ptxS,ptxS,PA14_35370,,,,,,,,,,,,,,,,,,,,,
ptxR,ptxR,PA14_35380,,,,,,,,,,,,,,,,,,,,,
pvcD,pvcD,PA14_35390,,,,,,,,,,,,,,,,,,,,,
pvcC,pvcC,PA14_35400,,,,,,,,,,,,,,,,,,,,,
pvcB,pvcB,PA14_35420,,,,,,,,,,,,,,,,,,,,,
PA14_03420,PA14,PA14_03420,,,,,,,,,,,,,,,,,,,,,
pvcA,pvcA,PA14_35430,,,,,,,,,,,,,,,,,,,,,
ansA,ansA,PA14_35440,"pae00250,pae00460,pae01100,pae01110",,,"pau00250,pau00460,pau01100,pau01110","pap00250,pap00460,pap01100,pap01110","pag00250,pag00460,pag01100,pag01110","paf00250,paf00460,paf01100,paf01110","pnc00250,pnc00460,pnc01100,pnc01110","paeb00250,paeb00460,paeb01100,paeb01110",,,,,,,,,"paeu00250,paeu00460,paeu01100,paeu01110",,,
PA14_35460,PA14,PA14_35460,,,,,,,,,,,,,,,,,,,,,
PA14_35470,PA14,PA14_35470,,,,,,,,,,,,,,,,,,,,,
lpdV,lpdV,PA14_35490,"pae00010,pae00020,pae00260,pae00280,pae00310,pae00380,pae00620,pae00630,pae00640,pae01100,pae01110,pae01120,pae01200,pae01240",,,"pau00010,pau00020,pau00260,pau00280,pau00310,pau00380,pau00620,pau00630,pau00640,pau01100,pau01110,pau01120,pau01200,pau01240",,"pag00010,pag00020,pag00260,pag00280,pag00310,pag00380,pag00620,pag00630,pag00640,pag01100,pag01110,pag01120,pag01200,pag01240","paf00010,paf00020,paf00260,paf00280,paf00310,paf00380,paf00620,paf00630,paf00640,paf01100,paf01110,paf01120,paf01200,paf01240","pnc00010,pnc00020,pnc00260,pnc00280,pnc00310,pnc00380,pnc00620,pnc00630,pnc00640,pnc01100,pnc01110,pnc01120,pnc01200,pnc01240","paeb00010,paeb00020,paeb00260,paeb00280,paeb00310,paeb00380,paeb00620,paeb00630,paeb00640,paeb01100,paeb01110,paeb01120,paeb01200,paeb01240",,,,,,,,,"paeu00010,paeu00020,paeu00260,paeu00280,paeu00310,paeu00380,paeu00620,paeu00630,paeu00640,paeu01100,paeu01110,paeu01120,paeu01200,paeu01240",,,
bkdB,bkdB,PA14_35500,"pae00280,pae00640,pae01100,pae01110","paev00280,paev00640,paev01100,paev01110","paei00280,paei00640,paei01100,paei01110","pau00280,pau00640,pau01100,pau01110","pap00280,pap00640,pap01100,pap01110","pag00280,pag00640,pag01100,pag01110","paf00280,paf00640,paf01100,paf01110","pnc00280,pnc00640,pnc01100,pnc01110","paeb00280,paeb00640,paeb01100,paeb01110",,,,,,,,,"paeu00280,paeu00640,paeu01100,paeu01110",,"paec00280,paec00640,paec01100,paec01110","paeo00280,paeo00640,paeo01100,paeo01110"
bkdA2,bkdA2,PA14_35520,"pae00280,pae00640,pae01100,pae01110","paev00280,paev00640,paev01100,paev01110","paei00280,paei00640,paei01100,paei01110",,,,,"pnc00280,pnc00640,pnc01100,pnc01110","paeb00280,paeb00640,paeb01100,paeb01110",,,,,,,,,"paeu00280,paeu00640,paeu01100,paeu01110",,"paec00280,paec00640,paec01100,paec01110","paeo00280,paeo00640,paeo01100,paeo01110"
bkdA1,bkdA1,PA14_35530,"pae00280,pae00640,pae01100,pae01110","paev00280,paev00640,paev01100,paev01110","paei00280,paei00640,paei01100,paei01110","pau00280,pau00640,pau01100,pau01110","pap00280,pap00640,pap01100,pap01110","pag00280,pag00640,pag01100,pag01110",,,,,,,,,,,,,,,
bkdR,bkdR,PA14_35540,,,,,,,,,,,,,,,,,,,,,
gabD,gabD,PA14_03430,,,,,,,,,,,,,,,,,,,,,
pslN,pslN,PA14_35570,,,,,,,,,,,,,,,,,,,,,
pslM,pslM,PA14_35590,,,,,,,,,,,,,,,,,,,,,
pslL,pslL,PA14_35600,,,,,,,,,,,,,,,,,,,,,
pslK,pslK,PA14_35620,pae02025,,,pau02025,,pag02025,paf02025,pnc02025,paeb02025,,,,,,,,,paeu02025,,,
pslJ,pslJ,PA14_35630,pae02025,,,pau02025,,pag02025,paf02025,pnc02025,paeb02025,,,,,,,,,paeu02025,,,
pslI,pslI,PA14_35640,pae02025,,,pau02025,,pag02025,paf02025,pnc02025,paeb02025,,,,,,,,,paeu02025,,,
pslH,pslH,PA14_35650,pae02025,,,pau02025,,pag02025,paf02025,pnc02025,paeb02025,,,,,,,,,paeu02025,,,
pslG,pslG,PA14_35670,pae02025,,,pau02025,,pag02025,paf02025,pnc02025,paeb02025,,,,,,,,,paeu02025,,,
pslF,pslF,PA14_35680,,,,pau02025,,pag02025,paf02025,pnc02025,paeb02025,,,,,,,,,paeu02025,,,
pslE,pslE,PA14_35690,pae02025,,,,,,,,,,,,,,,,,,,,
PA14_35740,PA14,PA14_35740,,,,,,,,,,,,,,,,,,,,,
PA14_35790,PA14,PA14_35790,,,,,,,,,,,,,,,,,,,,,
PA14_35800,PA14,PA14_35800,,,,,,,,,,,,,,,,,,,,,
PA14_35810,PA14,PA14_35810,,,,,,,,,,,,,,,,,,,,,
gabT,gabT,PA14_03450,,,,,,,,"pnc00250,pnc00310,pnc00650,pnc01100,pnc01120","paeb00250,paeb00310,paeb00650,paeb01100,paeb01120",,,,,,,,,,,"paec00250,paec00310,paec00650,paec01100,paec01120","paeo00250,paeo00310,paeo00650,paeo01100,paeo01120"
tnpS,tnpS,PA14_35820,,,,,,,,,,,,,,,,,,,,,
tnpT,tnpT,PA14_35830,,,,,,,,,,,,,,,,,,,,,
PA14_35840,PA14,PA14_35840,,,,,,,,,,,,,,,,,,,,,
PA14_35850,PA14,PA14_35850,,,,,,,,,,,,,,,,,,,,,
PA14_35860,PA14,PA14_35860,,,,,,,,,,,,,,,,,,,,,
PA14_35880,PA14,PA14_35880,,,,"pau00310,pau00330,pau00410,pau01100,pau01120",,,,,,,,,,,,,,,,,
PA14_35890,PA14,PA14_35890,,,,,,,,,,,,,,,,,,,,,
PA14_35900,PA14,PA14_35900,,,,,,,,,,,,,,,,,,,,,
PA14_35940,PA14,PA14_35940,,,,,,,,,,,,,,,,,,,,,
PA14_35950,PA14,PA14_35950,,,,,,,,,,,,,,,,,,,,,
PA14_35970,PA14,PA14_35970,,,,,,,,,,,,,,,,,,,,,
PA14_35980,PA14,PA14_35980,,,,,,,,,,,,,,,,,,,,,
PA14_35990,PA14,PA14_35990,,,,,,,,,,,,,,,,,,,,,
prpR,prpR,PA14_36000,,,,,,,,,,,,,,,,,,,,,
PA14_36010,PA14,PA14_36010,,,,,,,,,,,,,,,,,,,,,
PA14_36020,PA14,PA14_36020,,,,,,,,,,,,,,,,,,,,,
recF,recF,PA14_00030,pae03440,paev03440,paei03440,pau03440,pap03440,pag03440,paf03440,pnc03440,paeb03440,pdk03440,psg03440,,,,,,paes03440,paeu03440,,,
PA14_00340,PA14,PA14_00340,,,,,,,,,,,,,,,,,,,,,
PA14_03470,PA14,PA14_03470,,,,,,,,,,,,,,,,,,,,,
PA14_36030,PA14,PA14_36030,,,,,,,,,,,,,,,,,,,,,
PA14_36050,PA14,PA14_36050,,,,,,,,,,,,,,,,,,,,,
PA14_36060,PA14,PA14_36060,,,,,,,,,,,,,,,,,,,,,
PA14_36070,PA14,PA14_36070,,,,"pau00053,pau01100",,,,,,,,,,,,,,,,,
PA14_36080,PA14,PA14_36080,,,,,,,,,,,,,,,,,,,,,
PA14_36090,PA14,PA14_36090,,,,,,,,,,,,,,,,,,,,,
pdxA,pdxA,PA14_07740,"pae00750,pae01100,pae01240","paev00750,paev01100,paev01240","paei00750,paei01100,paei01240","pau00750,pau01100,pau01240",,"pag00750,pag01100,pag01240","paf00750,paf01100,paf01240","pnc00750,pnc01100,pnc01240","paeb00750,paeb01100,paeb01240","pdk00750,pdk01100,pdk01240","psg00750,psg01100,psg01240","prp00750,prp01100,prp01240",,,"paem00750,paem01100,paem01240","pael00750,pael01100,pael01240",,,"paeg00750,paeg01100,paeg01240","paec00750,paec01100,paec01240","paeo00750,paeo01100,paeo01240"
PA14_36110,PA14,PA14_36110,,,,,,,,,,,,,,,,,,,,,
PA14_36120,PA14,PA14_36120,,,,,,,,,,,,,,,,,,,,,
PA14_36130,PA14,PA14_36130,,,,pau02020,,,,,,,,,,,,,,,,,
PA14_03480,PA14,PA14_03480,,,,,,,,,,,,,,,,,,,,,
PA14_36150,PA14,PA14_36150,,,,,,,,,,,,,,,,,,,,,
PA14_36170,PA14,PA14_36170,,,,,,,,,,,,,,,,,,,,,
PA14_36180,PA14,PA14_36180,,,,,,,,,,,,,,,,,,,,,
PA14_36190,PA14,PA14_36190,,,,,,,,,,,,,,,,,,,,,
PA14_36200,PA14,PA14_36200,,,,,,,,,,,,,,,,,,,,,
PA14_36220,PA14,PA14_36220,,,,,,,,,,,,,,,,,,,,,
PA14_36230,PA14,PA14_36230,,,,,,,,,,,,,,,,,,,,,
PA14_36250,PA14,PA14_36250,,,,,,,,,,,,,,,,,,,,,
PA14_36260,PA14,PA14_36260,,,,,,,,,,,,,,,,,,,,,
PA14_36270,PA14,PA14_36270,,,,,,,,,,,,,,,,,,,,,
PA14_03490,PA14,PA14_03490,,,,,,,,,,,,,,,,,,,,,
PA14_36280,PA14,PA14_36280,,,,,,,,,,,,,,,,,,,,,
PA14_36290,PA14,PA14_36290,,,,,,,,,,,,,,,,,,,,,
PA14_36300,PA14,PA14_36300,,,,,,,,,,,,,,,,,,,,,
hcnC,hcnC,PA14_36310,,,,,,,,,,,,,,,,,,,,,
