"CS1","CS2"
"pau02020.0",-0.234153514024183,1.04079569024357
"pau02020.1",2.53736947432533,-11.2784265674554
"pau00970.0",-0.0829863853510799,-0.0215172811487323
"pau00970.1",2.77243767179638,0.718856720882627
"pau00550.0",-0.247166458060071,-0.0672311412620053
"pau00550.1",12.7231834427041,3.46080188247452
"pau01100.0",-2.43069158708138,-0.565008352764306
"pau01100.1",2.54088034161488,0.590621460993673
"pau00785.0",-0.00515380036312796,0.00546547906944555
"pau00785.1",7.04493801788071,-7.47098423868697
"pau01240.0",-0.0846170524784035,-0.0868232499855778
"pau01240.1",1.08223791223494,1.11045480840669
"pau03030.0",-0.0268578008714652,-0.0643540468125022
"pau03030.1",2.31616320666828,5.54976470860975
"pau03430.0",-0.0292932692827806,-0.0720610542983234
"pau03430.1",2.16045087706278,5.31468053148978
"pau03440.0",-0.0561182893319493,-0.0684131935490071
"pau03440.1",3.41081058798235,4.15808193179887
"pau00860.0",-0.0551956263399867,0.205768384390793
"pau00860.1",3.3531264146781,-12.5003999548159
"pau01110.0",-1.22482948051675,-0.860994081352739
"pau01110.1",3.15163707225118,2.21544378947778
"pau01120.0",-0.879802019667518,0.405463104748461
"pau01120.1",3.93166623701178,-1.8119367353759
"pau00730.0",-0.0354989747232787,-0.0309601648944474
"pau00730.1",4.59774017378483,4.00988465249557
"pau03070.0",0.238607823750835,-0.0738162189071919
"pau03070.1",-6.02051857646243,1.86252030712555
"pau00230.0",-0.160020880305637,-0.163810650017361
"pau00230.1",3.47895825382151,3.56135031786657
"pau00920.0",-0.147282554566709,-0.206008152541957
"pau00920.1",14.4420379602284,20.2004749841566
"pau03018.0",-0.164297759110209,-0.167745173586291
"pau03018.1",5.9720456104824,6.09735539316536
"pau00061.0",-0.206253331031639,-0.145648367417554
"pau00061.1",10.6048596108681,7.48875415145827
"pau00780.0",-0.00738305069337765,-0.0534351812765367
"pau00780.1",1.60107039198472,11.5878232705266
"pau01212.0",-0.185372412644869,-0.214049913359799
"pau01212.1",7.16718938130553,8.27596859863271
"pau01040.0",0.0157921829964736,-0.0252182784471181
"pau01040.1",-7.55160530800812,12.0590348669724
"pau02010.0",-0.307507158809864,0.0141740421305689
"pau02010.1",7.58042121906524,-0.349407181746055
"pau00430.0",-0.0214035934948855,0.0926084641936623
"pau00430.1",5.59530461824049,-24.2096060885653
"pau00190.0",0.0374691357073724,0.0638601842718172
"pau00190.1",-0.774003682389022,-1.31916621110379
"pau00071.0",-0.0420144815093583,0.164591183026001
"pau00071.1",3.68005454077816,-14.4165656389683
"pau00280.0",-0.105942622951279,-0.0596948929028061
"pau00280.1",8.78548113698939,4.95030556127906
"pau00310.0",-0.0194743487547668,0.0104551594599732
"pau00310.1",3.4220262140657,-1.83717721166453
"pau00362.0",-0.00984273400148293,0.00581470821272225
"pau00362.1",1.69927633610796,-1.00386702167943
"pau00380.0",-0.0243167595960723,0.0765346120657694
"pau00380.1",2.70966533973923,-8.52840547218717
"pau00620.0",-0.407706838265553,0.273379063245587
"pau00620.1",7.94756392281418,-5.32906828236276
"pau00630.0",-0.264879655902016,0.112591720257939
"pau00630.1",8.43372182974356,-3.58490064385702
"pau00650.0",-0.168835446646892,-0.18824282747732
"pau00650.1",6.32741471509572,7.05474152641836
"pau00900.0",-0.00946725858804179,-0.0202930379753254
"pau00900.1",1.67166555417702,3.58320967548159
"pau01200.0",-0.774190200582791,-0.130166927356802
"pau01200.1",4.92370224322492,0.82783686972261
"pau00790.0",-0.0363358892629805,-0.0301220357823435
"pau00790.1",5.17187241554469,4.28742296177875
"pau04122.0",-0.0154731569242795,-0.0198533773851217
"pau04122.1",3.97680634891668,5.10258104528769
"pau03410.0",-0.0186737738183639,-0.0349299419813166
"pau03410.1",3.34887765381155,6.26419187080063
"pau00910.0",-0.00602730305854387,0.444666163499048
"pau00910.1",0.317638243919558,-23.4338605396776
"pau00030.0",-0.130707419801871,-0.0404440366887944
"pau00030.1",3.632724828628,1.12405291506811
"pau00260.0",-0.122879450611506,-0.081088837209831
"pau00260.1",6.15412283393846,4.06114010249172
"pau00564.0",-0.00895607984330227,-0.0245419763715959
"pau00564.1",1.56051086661376,4.27620359422035
"pau00480.0",-0.0752206576432613,0.0010895277604634
"pau00480.1",2.97965567197252,-0.0431585906445074
"pau02024.0",0.603875469949315,-0.181145120120855
"pau02024.1",-11.4555286121808,3.4363262125477
"pau03060.0",0.0568150963552923,0.0457749896617661
"pau03060.1",-1.98431996552542,-1.59873399385868
"pau00540.0",-0.090951441518137,-0.08494494504699
"pau00540.1",4.60596502008128,4.30178388586774
"pau00521.0",0.0353322387192042,-0.0507734002905804
"pau00521.1",-4.37749727161593,6.29058416051833
"pau00562.0",0.0019288580444775,0.00170193313571011
"pau00562.1",-0.812000515852636,-0.716470861139846
"pau00270.0",0.131750167179,-0.245672062942918
"pau00270.1",-4.66493564098311,8.69861789897548
"pau01230.0",-0.620371413774108,-0.232886936865342
"pau01230.1",4.24999838455375,1.59544602392297
"pau00240.0",0.0414038129160128,-0.035170687537792
"pau00240.1",-2.72048055385144,2.31092657350754
"pau00250.0",0.000843828881144609,0.180457436503135
"pau00250.1",-0.0299900059912622,-6.4135273428377
"pau00290.0",-0.325483545259987,-0.00910532852959989
"pau00290.1",14.5314179123041,0.406513127988552
"pau01210.0",-0.482272653925734,-0.106776959220938
"pau01210.1",11.3904929502874,2.52189750208503
"pau01502.0",-0.0798155448979134,-0.0212902087073394
"pau01502.1",17.6132937378556,4.69821637103707
"pau00520.0",-0.0147865046526785,-0.0545121281238416
"pau00520.1",0.848787456040499,3.12915132009968
"pau02060.0",-0.0288639451737595,0.00823160706161077
"pau02060.1",7.12057703062942,-2.03069233312425
"pau03010.0",1.25634104248949,0.415638432912619
"pau03010.1",-5.91880678656605,-1.95813357542323
"pau00300.0",-0.133445459224807,-0.0564857552600304
"pau00300.1",12.1519964354794,5.14378458857031
"pau00750.0",-0.0491436864778715,0.0378499550040255
"pau00750.1",6.47104020157554,-4.98392770288329
"pau01503.0",0.114021537966478,-0.222882685162315
"pau01503.1",-6.62154121813148,12.9434044912109
"pau01501.0",0.104202877930017,-0.149173686952656
"pau01501.1",-5.20572560760673,7.4523592589457
"pau00330.0",-0.0369356848622938,-0.0452248663144567
"pau00330.1",3.18484049336205,3.89958886865547
"pau00410.0",-0.0354042049506791,-0.0326218053023552
"pau00410.1",7.18422558247965,6.61962070681535
"pau02025.0",0.616532072934012,-0.238493478833573
