Reaction,ID,Subsystem,WT_force_RL_mean,RhlA_mean,AbsDiff,Diff,RelDiff,pval,-logpval
5aizc_c <=> 5caiz_c,AIRC3,S_Purine_Metabolism,-0.2608127356547219,-0.25195532216455907,0.008857413490162835,0.008857413490162835,-0.033960816629325805,0.001548100425903909,6.47072663130394
air_c + atp_c + hco3_c --> 5caiz_c + adp_c + h_c + pi_c,AIRC2,S_Purine_Metabolism,0.2608127360205405,0.2519553222321846,0.008857413788355917,-0.008857413788355917,-0.033960817725014567,0.001548100425903909,6.47072663130394
10fthf_c + gar_c <=> fgam_c + h_c + thf_c,GARFT,S_Purine_Metabolism,0.13160941832232917,0.11110696320556994,0.02050245511675923,-0.02050245511675923,-0.15578258287371166,0.017039980564215487,4.072192898179301
atp_c + dtdp_c <=> adp_c + dttp_c,NDPK4,S_Pyrimidine_Metabolism,0.048960958839614474,0.027191214330479205,0.02176974450913527,-0.02176974450913527,-0.44463476666068263,0.001792585919290397,6.324096053980712
dtdp4d6dm_c + lrhh_c --> dtdp_c + h_c + llrhh_c,RHLC,S_Rhamnolipid_Synthesis,0.011066984336460669,0.0,0.011066984336460669,-0.011066984336460669,-1.0,5.684475074311346e-118,269.96730218557155
dtdp4d6dm_c + haa_c --> dtdp_c + h_c + lrhh_c,RHLB,S_Rhamnolipid_Synthesis,0.015301420290488213,0.0,0.015301420290488213,-0.015301420290488213,-1.0,8.704667066601041e-130,297.17220276296337
2.0 3haACP_c + h2o_c --> 2.0 ACP_c + h_c + haa_c,RHLA,S_Rhamnolipid_Synthesis,0.018638736936994315,0.0,0.018638736936994315,-0.018638736936994315,-1.0,2.3327714961858045e-103,236.31920753434238
g1p_c <=> g6p_c,PGMT,S_Starch_and_Sucrose_Metabolism,-0.03625751062855765,-0.009803269143442643,0.026454241485115007,0.026454241485115007,-0.7296210089028767,5.721341049587413e-142,325.2228799780131
atp_c + h_c + so4_c --> aps_c + ppi_c,SADT,S_Sulfur_Metabolism,0.11069083691272104,0.10246943410643797,0.00822140280628307,-0.00822140280628307,-0.07427356261445191,0.00607115296315634,5.1042067474410935
5.0 h_c + 3.0 nadph_c + so3_c --> 3.0 h2o_c + h2s_c + 3.0 nadp_c,SULRi,S_Sulfur_Metabolism,0.1106908369094716,0.10246943410646212,0.008221402803009481,-0.008221402803009481,-0.07427356258705811,0.005996315967138522,5.116610003809554
grxrd_c + paps_c --> grxox_c + 2.0 h_c + pap_c + so3_c,PAPSR2,S_Sulfur_Metabolism,0.028674578898221864,0.025065015174753996,0.0036095637234678686,-0.0036095637234678686,-0.12588026963812537,0.01901983217092453,3.962273045724826
mal_L_c + q8_c --> oaa_c + q8h2_c,MDH2,S_TCA_Cycle,2.379497741881993,2.4810668363803945,0.10156909449840157,0.10156909449840157,0.042685098082113966,0.0008698778160282311,7.047157797525315
dhlam_c + nad_c --> h_c + lpam_c + nadh_c,PDHcr,S_TCA_Cycle,0.13422108317258677,0.14724631925677145,0.013025236084184683,0.013025236084184683,0.09704314535620548,0.021050901893962446,3.8608118744527
mal_L_c + nadp_c --> co2_c + nadph_c + pyr_c,ME2,S_TCA_Cycle,1.0608775912308621,1.0052145692886318,0.05566302194223027,-0.05566302194223027,-0.052468845041441926,0.02980160326241682,3.5131930861657445
atp_c + h2o_c + mg2_p --> adp_c + h_c + mg2_c + pi_c,MG2uabcpp,S_Transport__ABC_system,0.0002757068500194525,0.00029309836139266546,1.7391511373212936e-05,1.7391511373212936e-05,0.06307972171161462,0.03629913318833206,3.315961417105752
atp_c + h2o_c + so4_p --> adp_c + h_c + pi_c + so4_c,SULabcpp,S_Transport__ABC_system,0.014564973908630204,0.011748794454363408,0.0028161794542667963,-0.0028161794542667963,-0.19335286639944624,0.007682937218282773,4.868753354640794
atp_c + h2o_c + pe180_c --> adp_c + h_c + pe180_p + pi_c,PE180abcpp,S_Transport__ABC_system,0.07943532385721176,0.08892203714153658,0.009486713284324821,0.009486713284324821,0.11942688496338953,2.338684686331057e-05,10.66333679349649
atp_c + h2o_c + pgp160_c --> adp_c + h_c + pgp160_p + pi_c,PGP160abcpp,S_Transport__ABC_system,0.03675135311604862,0.025438732503939507,0.011312620612109116,-0.011312620612109116,-0.3078150776214307,7.0720883152430374e-15,32.58262058163818
atp_c + h2o_c + pgp181_c --> adp_c + h_c + pgp181_p + pi_c,PGP181abcpp,S_Transport__ABC_system,0.04298054032669767,0.04848629639921713,0.005505756072519463,0.005505756072519463,0.12809881008172258,0.00014138873743156863,8.863997458087299
4hbz_p + h_p <=> 4hbz_c + h_c,UHBZ1t_pp_,S_Transport__Inner_Membrane,-0.035250036685752495,-0.039808129260051416,0.004558092574298921,-0.004558092574298921,0.12930745618603084,0.015088673499229814,4.193810916015319
lrhh_c <=> lrhh_p,LRHHt2rpp,S_Transport__Inner_Membrane,0.004234435954792157,0.0,0.004234435954792157,-0.004234435954792157,-1.0,3.2695944338719284e-26,58.68254646696679
haa_c <=> haa_p,HAAt2rpp,S_Transport__Inner_Membrane,0.003337316647167244,0.0,0.003337316647167244,-0.003337316647167244,-1.0,8.483067790420417e-09,18.585193684826514
na1_p + so4_p --> na1_c + so4_c,SO4t4pp_1,S_Transport__Inner_Membrane,0.040265671482373,0.03438217794673195,0.005883493535641049,-0.005883493535641049,-0.14611686131241225,0.0037237127811780863,5.5930340489707975
h_p + phpyr_p <=> h_c + phpyr_c,PHPYRtpp,S_Transport__Inner_Membrane,-0.029859346608603045,-0.025433391258127092,0.004425955350475953,0.004425955350475953,-0.14822679841228512,0.002245001873708078,6.099048923174425
llrhh_c <=> llrhh_p,LLRHHt2rpp,S_Transport__Inner_Membrane,0.011066984336460669,0.0,0.011066984336460669,-0.011066984336460669,-1.0,5.700862750201252e-118,269.96442345022615
h2s_c --> h2s_p,H2St1pp,S_Transport__Inner_Membrane,0.06410438455076627,0.05534672466001375,0.008757659890752514,-0.008757659890752514,-0.13661561455000087,0.007230568213356379,4.929437654840606
akg_p + h_p <=> akg_c + h_c,AKGt2rpp,S_Transport__Inner_Membrane,-0.22331973052230625,-0.2601633697296957,0.03684363920738948,-0.03684363920738948,0.16498156755436957,1.5121926908484647e-06,13.401949847289508
atp_c + g3pg_p + h2o_c --> adp_c + g3pg_c + h_c + pi_c,G3PGabcpp,S_Transport__Inner_Membrane,0.3221146012304398,0.313401971291172,0.008712629939267802,-0.008712629939267802,-0.027048230368901575,0.03917297320461976,3.2397682290377467
34dhbz_p + h_p <=> 34dhbz_c + h_c,3_4DHBZ1t_pp_,S_Transport__Inner_Membrane,-0.05313987176751325,-0.06737695376906813,0.01423708200155488,-0.01423708200155488,0.26791713129911304,0.0003258469400946554,8.029082795763488
atp_c + g3pe_p + h2o_c --> adp_c + g3pe_c + h_c + pi_c,G3PEabcpp,S_Transport__Inner_Membrane,0.18719047988101392,0.19430822596286385,0.007117746081849924,0.007117746081849924,0.03802408160059347,0.007704907136275965,4.865897862680357
h_e <=> h_p,Htex,S_Transport__Outer_Membrane,-16.459253387406754,-16.606629716809884,0.14737632940313006,-0.14737632940313006,0.008954010606331032,0.04950835729174327,3.005613789481746
h2s_e <=> h2s_p,H2Stex,S_Transport__Outer_Membrane,-0.06410438455031509,-0.05534672466001375,0.008757659890301334,0.008757659890301334,-0.13661561454392418,0.007230568213356379,4.929437654840606
34dhbz_e <=> 34dhbz_p,3_4DHBZt2,S_Transport__Outer_Membrane,-0.05313987176751325,-0.06737695376906813,0.01423708200155488,-0.01423708200155488,0.26791713129911304,0.0003258469400946554,8.029082795763488
llrhh_p <=> llrhh_e,LLRHHtex,S_Transport__Outer_Membrane,0.011066984336247783,0.0,0.011066984336247783,-0.011066984336247783,-1.0,5.6499622495675465e-118,269.97339210965384
lrhh_p <=> lrhh_e,LRHHtex,S_Transport__Outer_Membrane,0.004234435954792157,0.0,0.004234435954792157,-0.004234435954792157,-1.0,3.259028419543438e-26,58.68578329770148
akg_e <=> akg_p,AKGtex,S_Transport__Outer_Membrane,-0.22331973052230625,-0.26016336973022264,0.03684363920791639,-0.03684363920791639,0.16498156755672902,1.5121926908484647e-06,13.401949847289508
haa_p <=> haa_e,HAAtex,S_Transport__Outer_Membrane,0.003337316647167244,0.0,0.003337316647167244,-0.003337316647167244,-1.0,8.483067790420417e-09,18.585193684826514
so4_e <=> so4_p,SO4tex,S_Transport__Outer_Membrane,0.11159325004296745,0.10338276600845914,0.008210484034508317,-0.008210484034508317,-0.07357509554876288,0.005988272622683343,5.1179522852909
phpyr_e <=> phpyr_p,PHPYRtex,S_Transport__Outer_Membrane,-0.029859346608603045,-0.025433391258127096,0.004425955350475949,0.004425955350475949,-0.148226798412285,0.00223226844248724,6.104736971763362
grxox_c + 2.0 gthrd_c --> grxrd_c + gthox_c,GRXR,S_Unassigned,0.058651042505910474,0.05320375496300229,0.005447287542908186,-0.005447287542908186,-0.09287622709109124,0.035177395796586276,3.347351567523967
2ahbut_c + h_c + nadph_c <=> 23dhmp_c + nadp_c,KARA2,S_Valine__Leucine__and_Isoleucine_Metabolism,0.1389255525041126,0.13099819848493854,0.007927354019174049,-0.007927354019174049,-0.05706188585385958,0.007332702597665246,4.915411127400237
23dhmp_c --> 3mop_c + h2o_c,DHAD2,S_Valine__Leucine__and_Isoleucine_Metabolism,0.1389255523327669,0.13099819795999598,0.007927354372770923,-0.007927354372770923,-0.05706188846946323,0.016324553859980308,4.115084932831342
3hmp_c + nad_c --> h_c + mmtsa_c + nadh_c,HIBDkt,S_Valine__leucine_and_isoleucine_degradation,0.11462026377321026,0.10734989083981453,0.007270372933395733,-0.007270372933395733,-0.0634300837745499,0.0341772609139929,3.3761947416037668
3hmbcoa_c + nad_c <=> 2maacoa_c + h_c + nadh_c,HACD9,S_Valine__leucine_and_isoleucine_degradation,0.07848555526083942,0.0699864195047822,0.008499135756057222,-0.008499135756057222,-0.10828917152731019,0.006129744062197085,5.094602281586379
3mob_c + coa_c + nad_c --> co2_c + ibcoa_c + nadh_c,OIVD2,S_Valine__leucine_and_isoleucine_degradation,0.11462026377321026,0.10734989083981453,0.007270372933395733,-0.007270372933395733,-0.0634300837745499,0.026967353397778157,3.6131282779850276
coa_c + mmtsa_c + nad_c --> co2_c + nadh_c + ppcoa_c,MMTSAO,S_Valine__leucine_and_isoleucine_degradation,0.15618032444484292,0.147823035108565,0.008357289336277912,-0.008357289336277912,-0.05351051335041499,0.03497278432604553,3.3531851106575874
2mbcoa_c + fad_c --> 2mb2coa_c + fadh2_c,ACOADH1,S_Valine__leucine_and_isoleucine_degradation,0.07848555530378057,0.06998641950485206,0.008499135798928512,-0.008499135798928512,-0.10828917201429442,0.04036660532038766,3.209752436818507
2maacoa_c + coa_c --> accoa_c + ppcoa_c,MACCOAT,S_Valine__leucine_and_isoleucine_degradation,0.07848555530378057,0.06998641950485206,0.008499135798928512,-0.008499135798928512,-0.10828917201429442,0.00549844125626543,5.203290634863075
2mb2coa_c + h2o_c --> 3hmbcoa_c,ECOAH9ir,S_Valine__leucine_and_isoleucine_degradation,0.07848555526090926,0.06998641950485206,0.008499135756057208,-0.008499135756057208,-0.10828917152721364,0.010689112358178796,4.538529592174913
3mop_c + coa_c + nad_c --> 2mbcoa_c + co2_c + nadh_c,OIVD3,S_Valine__leucine_and_isoleucine_degradation,0.07848555530378057,0.06998641957032622,0.008499135733454344,-0.008499135733454344,-0.10828917118007508,0.0047741277014096695,5.344544002070582
