strain,phase,start_time,end_time,delta_time,start_od,delta_od,area,best_model,r2,growth_rate_max,growth_rate_mean,specific_growth_rate_max,specific_growth_rate_mean
M74707,3,47.6,48,0.4,0.661327841,0.013235507,0.265304191,LGX,0.926875464,0.077448004,0.021898824,0.11494027,0.032731325
PA14,1,3.9,20.2,16.3,0.005160546,0.262713548,0.948813053,EXP,0.999860575,0.0804249,0.016397626,0.296663261,0.231082757
PA14,2,20.2,37.9,17.7,0.267874094,0.615226455,11.34929701,EXP,0.934034705,0.048364634,0.032106006,0.050001817,0.050001817
PA14,3,37.9,48,10.1,0.883100549,-0.059439761,8.703104855,EXP,0.980365896,0.002943685,-0.006758678,0.003316255,-0.007924649
PA7,1,9.4,35.1,25.7,0.007425254,0.62213223,4.940065185,EXP,0.941545476,0.089503774,0.026119078,0.128868043,0.128868043
PA7,2,35.1,37.8,2.7,0.629557484,0.120930901,1.935490182,GOM,0.992032115,0.102703064,0.044193599,0.155886473,0.06443467
PA7,3,37.8,48,10.2,0.750488385,-0.013125494,7.61952366,GOM,0.902108604,9.90E-118,-0.001249875,1.32E-117,-0.001679311
PAO1,1,5.3,25.9,20.6,0.005064946,0.427922573,1.621890823,EXP,0.99879387,0.111204848,0.02012781,0.266445787,0.203197398
PAO1,2,25.9,36.9,11,0.432987519,0.527565161,8.835791077,GOM,0.956355123,0.135078134,0.036834696,0.275508326,0.055205319
PAO1,3,36.9,48,11.1,0.96055268,-0.118239798,9.824543035,LGX,0.705653542,2.25E-11,3.16E-12,2.54E-11,3.57E-12
S86968,1,4.4,31.6,27.2,0.005162513,0.652237518,6.762930433,EXP,0.907616851,0.076269398,0.026254668,0.099960093,0.099960093
S86968,2,31.6,33.8,2.2,0.657400031,0.119116055,1.630360823,GOM,0.996376708,0.117191537,0.054276392,0.170349621,0.076212246
S86968,3,33.8,48,14.2,0.776516086,-0.081506412,10.14572579,EXP,0.994238954,0.000359738,-0.005933417,0.000516831,-0.008043817
T38079,1,5.1,23.6,18.5,0.001134581,0.650599141,1.986300212,EXP,0.998408107,0.201412805,0.034427766,0.318454868,0.30433201
T38079,2,23.6,30.3,6.7,0.651733722,0.416460346,6.521800906,GOM,0.99648399,0.233350029,0.062853524,0.358530765,0.075296279
T38079,3,30.3,48,17.7,1.068194068,-0.091783538,18.59237212,EXP,0.397193721,1.70E-06,-0.057022648,1.13E-06,-0.063743275
T52373,1,11.7,25.9,14.2,0.004322615,0.435357713,1.305523584,EXP,0.995587725,0.174902,0.033271658,0.3698695,0.307981026
