Row,F20590,F22031,F23197,F30658,F34365,F5677,F63912,F9670,H27930,H47921,H5708,M1608,M37351,M55212,M6057,M74707,PA14,PA7,PAO1,S86968,T36994,T38079,T52373,T6313,T63266,W16407,W25637,W36662,W45909,W60856,W70332,W91453,X78812,X9820
10.9,0.00348713143972255,0.0283949757688467,0.00715099760934014,0.0204354391317768,0.0251003211531417,0.00691779306947353,0.0246737008300044,0.0164063497647906,0.0302427535314577,0.0127101107491368,0.021364568334889,0.020522629509281,0.0117811948533557,0.00380505752134523,0.0233159437893061,0.0049895503692674,0.0202101892413181,0.00947614712798585,0.0117461800466639,0.0202436031153422,0.00401847227067276,0.0123255203161446,0.00427769044422851,0.0147295214079645,0.0148622758276878,0.0186033128643696,0.00671774595794742,0.00718320042974847,0.0150660837458158,0.0111954183214328,0.0197715843034983,0.00929443024330996,0.0165207487538171,0.0258400435484198
11,0.00320483673065627,0.0287856199450019,0.00720237913588118,0.0209803120137257,0.0259112138967395,0.00695973402483184,0.0246818599725274,0.0167909482648838,0.0319501319937614,0.012188332116343,0.0215729207916471,0.0183202667316477,0.0120060775570785,0.00339394313403026,0.023470301016419,0.00500623461164236,0.0207768465488175,0.00999871911760156,0.0122766236188505,0.0208339559861763,0.00406253551830068,0.012302774425317,0.0034319716741374,0.0152251791596544,0.0150559465026547,0.0183683895351086,0.00706348354203517,0.00729643746401679,0.014960370309081,0.0112961232475564,0.0200406185824942,0.00980303998609107,0.017071101352668,0.0257850023587737
11.1,0.00314096292204363,0.0298348918956501,0.00696087909943378,0.0211892591958505,0.0272195706140431,0.00697645792549331,0.025545950212226,0.0180824365907855,0.0334190254903457,0.0136301347628127,0.0225227348947728,0.018820668537892,0.012143373777724,0.00359857197469177,0.0241067027074024,0.00514844702357675,0.021265816868679,0.0101856994932484,0.0119391355773086,0.021326239060763,0.00402574837996474,0.0126718171353447,0.00371980405219588,0.014821263532674,0.0160472877687559,0.0191071150655043,0.00691469022945082,0.00738240333244214,0.01521709669729,0.0114010505761497,0.020865984338056,0.00938052113265606,0.017256753271682,0.0267249019085294
11.2,0.00310527743011125,0.0309146061100255,0.00661226127857301,0.0214305623930919,0.0280211764939975,0.00698710682535348,0.0267467477343978,0.0188545737275637,0.0344310221248113,0.0147176144402956,0.023140471446169,0.0199915485209551,0.0122657745684994,0.00375768632271286,0.0250486266777553,0.00520714369292025,0.0218044132249639,0.0101696846797953,0.0116412134952837,0.0217971212683293,0.00394851816859341,0.0132908058949948,0.00401907226922777,0.0145626171648673,0.0171170291096266,0.0199306671254225,0.00681419879077198,0.00743456824823788,0.0157069151435055,0.0115037032361707,0.0213652539128167,0.00950071105960114,0.0178317668379108,0.0277709710565754
11.3,0.00295934369553479,0.0315984489386406,0.00662929925090618,0.0216287767173894,0.0281168606837199,0.00699674933751505,0.027547103014645,0.0186634449566253,0.0348982002805629,0.0141830192831425,0.0231546138967224,0.0221130768616341,0.0124680857938773,0.00370613981092938,0.0260704032502084,0.00460147784952397,0.0223935158501413,0.00999674157747981,0.011448131981828,0.0223450725169838,0.00390913467980194,0.0138444907365238,0.00407425223008689,0.0155734738919315,0.0175322872283446,0.0201566611798831,0.00716220047886517,0.00744489932688114,0.0162714341290003,0.0115883737713149,0.0213854653156063,0.0103867018595138,0.0190251243640667,0.0280654963677433
11.4,0.00294066062991934,0.0320125901486748,0.00669692292526399,0.0218647635649419,0.0283381853622169,0.00703962919396086,0.0277602291988766,0.0187252940000422,0.0354231629554982,0.0139706206854686,0.0235035679176175,0.0219032285102499,0.0127389576905396,0.00388183764883856,0.0270385107559063,0.00465785929680998,0.0229315521167789,0.0100120357695548,0.0118010483066011,0.0230062259830164,0.00391283666484678,0.0143178365904029,0.00431785740566526,0.016089432819626,0.0184315355354507,0.0207142533534203,0.00759032073141675,0.00751454948844107,0.0169091065685314,0.0117502779262309,0.0218634261450686,0.01022036042696,0.0190517296750514,0.0287181265837247
11.5,0.00321703046192338,0.03230855474249,0.0069771884651055,0.0221865999932726,0.0288464425459153,0.00724802591703248,0.0278146764686327,0.0192115914154519,0.036006058653676,0.0139140252224429,0.0245312505422174,0.0198543846112552,0.0130994741706674,0.00448183863014578,0.027876150871333,0.00533176797162415,0.0236781093617653,0.0101126625402185,0.0124316602177182,0.023831807917352,0.00401037895849527,0.0147495774096517,0.00483947689177774,0.0163039634292739,0.0198840020396374,0.0217566141109909,0.00798231793631516,0.00793126020216438,0.0174888559272425,0.0121499305062735,0.0232682053555665,0.00998076557600114,0.0190330349903969,0.0298628497659471
11.6,0.00324714769324506,0.0331714901949554,0.00725681551080829,0.0226419411330706,0.0295723838016577,0.00734700223012344,0.0289297993555623,0.0196176128826383,0.0363713546268352,0.0137482347316884,0.0245420533923995,0.0202145664842219,0.0134069736514155,0.0042194466701757,0.0282195068872206,0.0054000622710818,0.0242681218383107,0.0109944496721604,0.0127767528028917,0.0245204741841627,0.00401280628802108,0.0156556390081757,0.00467841241023489,0.0169761553881594,0.0202248484101229,0.0221415013473138,0.00762018956946311,0.00811017324881871,0.0172657965910112,0.0124454946067329,0.023301190692227,0.0101708596705206,0.0198885322129156,0.0303343413309501
11.7,0.00323336192352649,0.0344630842552868,0.0074539774969154,0.0231118157313456,0.0304386529154437,0.00740956274154239,0.0303495473933989,0.020102666346477,0.0368199216769881,0.0136657592816025,0.0245747983027646,0.0214161682361581,0.013691238810911,0.00377298827059423,0.0286009938536351,0.0054041481167535,0.0247109864662459,0.0112767318903067,0.0129430180643525,0.0251357737760902,0.00398269409727074,0.0162421979919183,0.00432261548023725,0.0176586021826155,0.020419285594354,0.0225085878471711,0.00719122057319079,0.008208655518909,0.0170482885234477,0.0126758122693791,0.0233369385594399,0.0103052257665049,0.020416058565203,0.0307265651242267
11.8,0.00327079839119191,0.0358212918087482,0.00736067278546268,0.0234566835575618,0.0312737748764614,0.00752296244400211,0.0307199422981264,0.0208947244213508,0.0381571264254105,0.0148609442881143,0.0266552759394027,0.0244052390235867,0.0140164215673831,0.00353467590597872,0.030062236933671,0.00505866109261171,0.0253108127724434,0.0111120227399388,0.0130194638180055,0.0257767095974629,0.00395936787223906,0.0161343135360913,0.00395221489726935,0.0179550235967328,0.020591290580262,0.0233700217671684,0.00714180545606165,0.00835184072778839,0.0182098724259221,0.0128637655288995,0.0252206742879674,0.0103589893999663,0.0205755589701824,0.0312830181693354
