,strain,phase,start_time,end_time,delta_time,start_od,delta_od,area,best_model,r2,growth_rate_max,growth_rate_mean,specific_growth_rate_max,specific_growth_rate_mean
0,F22031,1,3.3,20.6,17.3,0.0064255898698156,0.3410412178090404,1.4496504288325132,EXP,0.9968108011918307,0.09202421911138779,0.021197156112306773,0.24932703785139074,0.2493270378513907
1,F22031,2,20.6,36.7,16.1,0.347466807678856,0.669790703219924,11.985124236503848,EXP,0.9454124980460306,0.06582453558810188,0.042927189756925055,0.05757442771313938,0.05757442771313933
2,F22031,3,36.7,48.0,11.299999999999997,1.01725751089878,-0.046485090180722,11.244500332031489,EXP,0.9892572071598733,0.003776692769860799,-0.004222095078454909,0.0037096548326544547,-0.004247580957707857
3,F23197,1,12.8,32.5,19.7,0.008181858376264759,0.41680171716933423,2.4413551153172124,EXP,0.9758618256785235,0.09194316282782906,0.02428941651826987,0.18835045405016418,0.18835045405016407
4,F23197,2,32.5,43.6,11.100000000000001,0.424983575545599,0.46918053250557695,7.573974326409988,EXP,0.9829092022973673,0.053891611824976794,0.039709810894595944,0.05820138587128888,0.05820138587128777
5,F23197,3,43.6,48.0,4.399999999999999,0.894164108051176,-0.10091697031797608,3.763218646976931,EXP,0.9445307112350013,0.01894670413872797,-0.02083436194810509,0.021064578825518748,-0.02443427179955373
6,F30658,1,4.4,22.2,17.799999999999997,0.00674337178953953,0.38217728763690045,1.0269647348194482,EXP,0.9637806567898393,0.19349319627748454,0.019937346527263648,0.5231806961944866,0.15730333327411714
7,F30658,2,22.2,28.4,6.199999999999999,0.38892065942644,0.413794498183541,4.154664954095962,GOM,0.9926657951713846,0.15486787800589655,0.06227312134846906,0.3864565748450951,0.10988118368706018
8,F30658,3,28.4,48.0,19.6,0.802715157609981,-0.330256717589904,12.665739118909684,EXP,0.9806305731245103,0.01330117897402909,-0.017570125285644042,0.027186196054523583,-0.027186196054523597
9,F34365,1,4.4,21.5,17.1,0.00856013111498526,0.37028551611239074,1.5102873812408533,EXP,0.9991380854611431,0.10473907091607049,0.02288038553284395,0.26479792297431787,0.23319597095067013
10,F34365,2,21.5,36.3,14.799999999999997,0.378845647227376,0.571256004652802,10.572320393243592,EXP,0.9729653065656862,0.05071659258885119,0.03581741881315801,0.05012923886309521,0.050129238863095206
11,F34365,3,36.3,48.0,11.700000000000003,0.950101651880178,-0.05946438590860892,10.553630546390439,EXP,0.9390767874333599,0.0010532121551793698,-0.006981147201809972,0.0011976110100389015,-0.007588641065693664
12,F5677,1,15.4,47.9,32.5,0.0110357622369504,0.6419462614279027,7.1111038608000925,EXP,0.9913555907543199,0.0637477904009073,0.020434891719008447,0.09121503004966289,0.09121503004966289
13,F5677,2,47.9,48.0,0.10000000000000142,0.652982023664853,0.004150613588668972,0.06550573304591968,EXP,1.0,0.042231929781013526,0.041510317706109,0.06426697958196194,0.06336613031780426
14,F5677,3,48.0,48.0,0.0,0.657132637253522,0.0,0.0,EXP,0.0,0.0034955161681631372,0.0034955161681631372,0.0053193464631262665,0.0053193464631262665
15,F63912,1,4.4,25.6,21.200000000000003,0.00810004101759518,0.6933851976206258,4.139292357693361,EXP,0.9733348409741985,0.13317614113734522,0.03551727190406895,0.17312113915042415,0.17312113915039545
16,F63912,2,25.6,32.3,6.699999999999996,0.701485238638221,0.3617569971352089,6.066847318815249,EXP,0.9808526191405278,0.06875125217574621,0.056247493996532574,0.06213723755415658,0.06213723755415657
17,F63912,3,32.3,48.0,15.700000000000003,1.06324223577343,-0.2373409057056599,14.955678990307234,EXP,0.9985271660221244,0.014857659902206631,-0.015761188620695768,0.013835626299127707,-0.016684950848470763
18,F9670,1,5.0,23.5,18.5,0.005962358953233111,0.6211920729314279,1.6338291277654022,EXP,0.9865416780461257,0.22041921764572228,0.02943907990730692,0.39744494892878923,0.18500466259326426
19,F9670,2,23.5,38.6,15.100000000000001,0.627154431884661,0.601688240556879,16.67458128925988,GOM,0.9182416095341335,0.16647602630318112,0.030275315802956088,0.2302757294914534,0.03270412104234013
20,F9670,3,38.6,48.0,9.399999999999999,1.22884267244154,-0.1535012009185701,10.589503576606708,LGX,0.980716402337226,4.4372014026729854e-07,-0.01654359539822822,4.0764212562178025e-07,-0.014196607609601
21,H27930,1,4.7,19.6,14.900000000000002,0.008419773467433741,0.3787546920484613,1.3435855354320747,EXP,0.999312561130289,0.1147575883481976,0.026225284951956578,0.2914441492051736,0.27834671926943744
22,H27930,2,19.6,37.5,17.9,0.387174465515895,0.7123965860385748,14.045450278105763,EXP,0.9669274488390845,0.05025379202302645,0.03472499567901005,0.044234991114717764,0.04423499111471775
23,H27930,3,37.5,48.0,10.5,1.0995710515544699,-0.11249348064560782,10.855974134087242,EXP,0.9955673746304589,0.004786171393045383,-0.010207732218905755,0.004824100991856172,-0.009767555945899769
24,H47921,1,9.0,24.1,15.100000000000001,0.00913192777405405,0.54866197745206,1.1926746568827145,EXP,0.9782446250216054,0.2809839975338122,0.032341980159250744,0.5587863490885596,0.19816321049121094
25,H47921,2,24.1,38.0,13.899999999999999,0.557793905226114,0.725036021105756,14.487537790371398,LGX,0.8800413245729666,0.05216196867533052,0.031183066340969987,0.0672966087262558,0.03199778415494923
26,H47921,3,38.0,48.0,10.0,1.28282992633187,-0.29261179973057416,10.62444573340531,EXP,0.922798399083331,0.0017977872309808917,-0.03781266405139977,0.0018266240339349141,-0.032467370670228
