"","1-Aminocyclopropane-1-carboxylate","1-Pyrroline-4-hydroxy-2-carboxylate 3_?","2-Amino-6-oxopimelate","2-Aminoacrylate","2-aminoadipate-6-semialdehyde","2-Aminoadipate 1_?","2-Deoxy-D-ribose 1-phosphate","2,6-Diaminoheptanedioate 1","2.3-Dihydrozy-2-methylpentanoate 2","3-Amino-isobutanoate 1_?","3-Methyl-2-oxopentanoate 1_?","4-Acetylaminobutanal_?","3-Amino-isobutanoate 1","5-Methylthioadenosine","Pyrroline-3-hydroxy-5-carboxylate 2","Acetyl-2, 6-diaminopimelate","Acetylhomoserine 2","Acetylmuramate","Acetylornithine","Adenine","deoxyguanosine 1","AICAR","alpha-Aminopropiononitrile","Anthranilate 1","Arginine","aspartate","alanine 1","Carbamoyl-L-aspartate","Cis-aconitate","Citrate","Citrulline","Cysteine","d-ala-d-ala 2_?","deoxyguanosine 1_?","Deoxyribose 2","Erithro-3-Methylmalate 2","erythro-4-Hydroxyglutamate","Ethyl malate 2_?","Formyl-methionine","Fumarate","Galactono-1,4-lactone","glutamate","glutamine","Glutamylcysteine_?","Glycerate","Guanosine","Hexose phosphates","Histidine","Homo-cisaconitate 2_?","Methylcitrate 1","homoserine 2_?","Hydroxyectoine_?","hypoxanthine","Isopropylmalate","Isopropylmaleate","ketoglutarate","Leucine","lysine","malate","methylmaleate 1","d-ala-d-ala 2","Norepinephrine","Ornithine","PABA 2_?","Phenylalanine","proline","Pyrrole-2-carboxylate","Pyrroline-3-hydroxy-5-carboxylate 2_?","S-Adenosylmethionine","serine_?","succinate","succinate semialdehyde 1","Succinyl-LL-2,6-diaminopimelate 1","Tartronate semialdehyde_?","Threonine 1","tryptophane","Tyrosine","valine","Aspartate 4-semialdehyde","2-Dehydro-3-deoxy-L-rhamnonate 3","glyceraldehyde3p","pentose 5-phosphate","Sedoheptulose 7-phosphate 1"
"PA14A_1",13.0498116462277,9.90001970321348,10.8516071691825,9.54910795516286,10.2328822266427,9.51550368300083,7.98223750617963,9.33755304615925,7.96243121835042,9.91511908090141,8.80731793151958,9.61414956997333,10.1692813714672,10.1935363321021,13.3855816016427,9.461207681262,12.1275832004719,6.75630513109988,8.50055546132103,10.3054176185089,8.12682309723881,9.3239622689251,9.61105146935015,9.16291224389018,9.8791339843346,12.0460581318391,12.4902217744825,8.94862739813266,8.40420179608015,11.4951687239243,11.3121210447408,9.10405383273548,6.16523693241657,5.95382796114359,8.79542956686237,9.00120733066168,10.1681057080866,9.69284289485753,8.94608412446709,7.43249901294481,11.1068026768242,13.3906772579855,8.64478908647594,8.67265190031629,10.6778661252344,6.90696411496042,12.0939005451705,9.55512877639578,7.06798872192684,8.41624130472801,9.42889487979114,9.14006969748293,8.2326876292574,10.0924114877696,7.94970019987755,10.001289865171,12.56490823133,9.5605465778746,9.21309192385171,7.14003533838905,10.510979812519,7.36178772684725,9.87406268284231,7.60842681836924,11.6714875413136,10.6884140823719,9.53579554684198,11.0218840358436,8.61871093533377,13.6942422393299,8.37752672696792,8.6867045274569,9.84265874261107,7.37327867720224,11.3751229730101,9.39244545677901,10.6151059958098,12.236763867952,7.94737785567904,9.89627806006802,12.0912559238247,11.1378347228105,11.9973845089764
"PA14A_2",13.3092089377096,9.9578251392359,11.0586574487709,9.71784298893435,10.6462885928659,9.63628491746228,7.93330867598163,9.40044678172733,8.23087634577293,10.1703655321334,8.83188661543131,9.60447093749619,10.3354563702723,10.4534639339949,13.6383544330285,9.40222932071421,12.4683032542478,6.75630513109988,8.74673500045622,9.82325674830815,8.53203567834084,8.97271694858612,9.65731756868073,9.56023330565497,9.84350941261792,12.2295259276152,12.4152648608555,9.13104692332066,8.81132741911816,11.7202176109435,11.2851834162386,9.67797333360719,6.16523693241657,5.95382796114359,9.17610593829373,9.1354315933951,10.2158677307882,9.62788161615491,8.94608412446709,7.34830661516659,11.3002965345919,13.6173377930242,8.64478908647594,8.98490544913044,10.9342946207662,6.90696411496042,12.4408082593135,8.95533582322805,6.76086820012163,8.67431562635332,9.3999086651239,9.25388551101286,8.2326876292574,10.4115019258037,8.27638713801975,10.2276716837321,12.3937800961307,9.5719008111833,8.99243964200634,7.53191532045437,10.7879103956191,7.36178772684725,9.85624692881446,7.91833083677172,11.8839375843535,10.9226792700667,9.45622943311114,10.3956588134652,8.82139910023003,13.6824206740916,8.40400844878219,8.96066024000854,10.1038325791147,7.08489854424281,11.2869949831488,9.38751117826622,10.6638746494738,12.3812378445235,8.0695564257019,9.83483197905974,12.4055795331871,11.4761165999951,12.3358359056182
"PA14A_3",13.0801071843084,9.82958075259166,10.8229408500234,9.64001383426827,10.5609071160463,9.34634485477129,7.48424866051191,9.30857991755309,7.99310513207478,9.92006072124855,8.97300609154875,9.579094932131,10.2520483144373,10.2788772380384,13.3891175760521,9.13514557284476,12.139434544294,6.75630513109988,8.30718245847354,9.69369631057314,8.36253339633385,9.23480333298472,10.302467097857,9.60608475723815,9.68563436383023,12.009183474417,12.2473978381401,8.99529079044076,8.6327477679143,11.4833402746852,11.0574112740876,9.28306213160719,6.16523693241657,5.95382796114359,8.80850848236644,9.04376297054402,10.069455140612,9.66310845811538,8.94608412446709,7.53406942302612,11.1153147917937,13.3894208867322,8.64478908647594,8.58688407054645,10.9886420846902,6.90696411496042,12.1265720354787,9.2841529936006,6.98673206897024,8.4643704527645,9.04488476859397,8.79619390215536,8.2326876292574,10.2373831119075,7.89856152326412,10.0324587444171,12.5604945387494,9.49430098661065,8.81366414040269,7.39668005128472,10.584927338572,7.36178772684725,9.69182468671728,8.25490803916598,11.6147507436227,10.6244750504089,9.62529401331015,10.5369129978067,8.61565867359574,13.7215024005355,8.29806575615035,8.70760560547767,9.58743805766483,7.04710107485637,11.1760231114863,9.19515489325317,10.4811865706706,12.2488584621019,8.08688889949474,9.85707410994549,12.1088151834815,11.1669069491671,12.0172863693642
"PA14B_4",13.3875686401035,10.3564246845878,11.0537776990555,9.79899100181706,10.907984264319,9.80241560017802,7.83511959758599,9.49086845890495,8.37548283340807,10.3202391702834,8.85264168917947,9.5006156938331,10.0619340043761,10.3633207501872,13.7107937656452,9.20088405074566,11.7223963071873,6.75630513109988,8.60178551751195,9.59481006820393,7.75797635887685,9.16734129294275,9.59662339053033,9.74811387833326,9.85487574454064,12.2420784027782,12.5482753332523,9.12559479668455,8.78886356580929,11.7048630811078,11.49112220822,9.46754996625563,6.16523693241657,5.95382796114359,9.60704122797868,9.04403753008163,10.6114099653361,9.51658367733518,8.94608412446709,7.25170926107809,11.3435063042779,13.6836228358609,8.64478908647594,9.29385459074334,10.9899570569082,6.90696411496042,12.5171317353742,9.02234233915427,6.84499223189969,8.91113188734315,9.57305914777238,9.25643383100019,8.2326876292574,10.2735070050008,8.32963634655784,10.1848564807985,12.4941062952924,9.55233507978543,9.05327350258916,7.38742459991853,10.7335819758882,7.36178772684725,9.99545086562505,7.96716430842711,11.922339961721,11.0085762232034,9.73279148304544,10.6423105955572,8.45059646821162,13.7195394487339,8.42519042598685,8.82349000884451,10.0985986289957,6.85122676825288,11.3198812477127,9.2814328411992,10.7470756458006,12.2812014740002,8.00260332909725,9.7313467176231,12.4144315399281,11.5483481539403,12.3672773499579
"PA14B_5",13.2897020838605,10.1791719974603,11.110906429072,9.79659310457789,10.9340762638943,9.9467348852635,7.67763333749885,9.26951831688086,8.33197051156133,10.5628373215626,8.8795040820096,9.51676225931539,10.0857069616818,10.2779613163618,13.6075680523391,9.26060386763755,11.5968649002615,6.75630513109988,8.87835477615321,9.73737044243888,8.30813975928988,9.15433485677172,9.69411081116399,9.35736054888714,9.91418800949609,12.1626583672164,12.2957278772767,9.20990231806593,8.8201508798893,11.585228252958,11.2192935039784,9.34364812459605,6.16523693241657,5.95382796114359,9.49154908394241,9.1183894871811,10.3012620497714,9.56139624915954,8.94608412446709,7.45734274776413,11.3461484737394,13.5858113250334,8.64478908647594,8.96536979605741,10.6801763456784,6.90696411496042,12.4776051912285,8.85080691298715,7.17787602861467,8.81914851668026,9.25100479355278,9.20916713271218,8.2326876292574,10.3098521513688,8.16796763759241,10.1875471325266,12.392493518083,9.44307900131222,8.86829992229454,6.74616990178031,10.6607388820883,7.36178772684725,9.41638433751564,8.37031762110603,11.780013800358,10.8625545578163,9.60607128925994,10.5962576362537,8.6509884733796,13.7939809245861,8.4081892199538,8.88198675346431,9.91746859980864,7.3375035928869,11.2253381139546,9.10296153359151,10.6252386727952,12.1178265857583,8.0022249564362,9.751691631423,12.3463182135822,11.4974863361024,12.3261156885332
"PA14B_6",13.2977695759938,10.1438972261232,10.9164088764882,9.66621950561662,10.7358911300984,9.15433112353764,7.84153200994126,9.3631611899349,8.40608715802289,10.1154491754966,9.02732843215989,9.26827816149989,9.9637910577749,10.2496338704793,13.598519534436,9.43272526631069,11.6106737297531,6.75630513109988,8.61775645183267,9.66338472913788,8.4530740844036,9.10552953301808,9.78837051004402,9.44217088615903,9.69356984437052,12.1101589663239,12.2909922094148,9.2049682582581,8.85543673773611,11.5800931411487,11.2117042543003,9.25729435199662,6.16523693241657,5.95382796114359,9.60492647280708,9.19576881652782,10.3573628855712,9.48558011461188,8.94608412446709,7.41964999976586,11.3734673131275,13.6424042165414,8.64478908647594,8.97050991000937,10.6386607694997,6.90696411496042,12.4297937663649,8.88893439406573,7.08095762028429,8.8349229897221,9.59936280271057,9.19150539633758,8.2326876292574,10.4094094549794,8.27535283502434,10.2192236683828,12.416858814604,9.05972686008588,8.74842025991224,6.9195790704517,10.6452650585175,7.36178772684725,9.69199390946053,7.80037819658349,11.7338960521011,10.8158121107114,9.64597829845316,10.3615429091278,8.75366447415185,13.6892947493948,8.41706665618105,8.98100455593235,9.858105992411,7.12082467741671,11.1755750279781,9.26538730357971,10.551416779408,12.103361925018,7.43803195601474,9.68147447966229,12.3830248677516,11.5405623282599,12.2786753590416
"F22031_7",13.3543330214831,9.8870382737428,10.4507713912358,9.87242305804022,9.88272480204674,9.10109944616856,8.52013274539476,9.65629550826743,7.25986845863379,9.23897981677121,8.95136921897927,9.39218881953979,10.6876843717798,10.2347044274791,13.6609107567842,9.28402657321054,11.9318029876603,9.09994828047861,8.42852643653626,9.73192704570257,8.53717448806503,9.23327700580675,9.68756388340992,8.29039772279901,9.73582356974587,12.5517630311562,12.5665051545606,8.11049320288512,7.87499800129369,10.9932456757196,10.2910610918147,9.28594010061841,8.50994779731345,6.99903663322168,8.00693163635594,8.62699694330312,10.0346271903864,9.74941183263137,8.62811882834949,7.7381965512411,11.1565406287502,13.6715833636862,8.39866911318406,8.34884003263095,11.5787915655639,7.82511823055591,11.2450804940079,9.60886752523765,7.2317094868016,8.88811224182835,9.43364226083352,8.41912146841318,7.16179380082405,9.33739534939293,7.88790277276796,9.64632433844067,12.5402663943158,9.77114660730861,8.89228087888739,7.18969279055252,10.8425316969,8.04129622288504,10.0421906794225,7.14106630870089,12.3633571940296,10.2394994391378,9.49243303037865,10.7417160669373,8.80264097231599,13.6865275383347,7.8695141478358,8.23453810247729,9.45632232538761,7.81171129220136,11.6874467159364,9.17330920230818,10.7704907167013,12.4347091115124,8.02867826048564,9.94792682975954,11.5098469406732,10.2989180982102,11.0846398124919
"F22031_8",13.3701516492265,9.89641127068986,10.3520627522515,9.86276302418585,9.12676361817234,8.76844143974888,8.43894181758013,9.67900982660727,7.06481544087021,9.5202743381644,9.06691041659892,5.79393648170632,10.8023126883616,10.26945043136,13.671053223997,8.29762853513714,11.7065567219293,9.09994828047861,8.10704505946242,9.7954907123836,8.23612330896152,8.95204338283216,9.97782107442874,7.92050157947341,9.94731860196555,12.6552993296653,12.6869005175156,8.18418178500217,7.90384572139903,11.113666979952,10.4598076770756,9.63465363779327,8.50994779731345,6.99903663322168,7.86200760357814,8.58068246378622,9.96435197466181,9.87287186813995,8.62811882834949,7.80323366026447,11.1576911224843,13.5951462758713,8.39866911318406,8.35280739325917,11.7045494277014,7.82511823055591,11.5704699806675,9.62515271455241,6.87188446437902,8.86300145034327,9.1773403388389,8.3026593126965,7.16179380082405,9.2352501256186,7.83395764547045,9.54859459119773,12.7919955697941,9.96853078192264,8.77936609892469,7.01676638846183,10.8203136170291,8.04129622288504,9.98841229280947,7.04854242245736,12.5068096231702,10.3238937433012,9.52126220471432,10.8736999423896,8.82475555451036,13.9653437720221,8.15627020872644,8.23215703523309,9.55222504844786,7.57822613049872,11.6023433152396,9.24819405176302,10.9382360471289,12.6629858707267,7.96300430779785,10.0733495310426,11.5073630884653,10.5044251570982,11.4464618122062
"F22031_9",13.2228345361688,9.80897010666938,10.164125717553,9.7821794101144,10.2930591854342,8.52910259311387,7.5211540112652,9.38762225009901,5.99968345770432,9.34679727291107,9.05780818346289,7.64817633922811,10.7445447460764,9.95351815330388,13.5134134983704,8.37684472781775,11.4947299186867,9.09994828047861,8.29317225781506,9.67475145977872,7.86639360833081,8.89170525034449,9.9325669546627,8.16125167196814,9.78487171558061,12.5179787290619,12.3959209003994,8.20616215439293,7.87922647720113,10.978696240677,10.3485878568265,9.30375892905756,8.50994779731345,6.99903663322168,7.78275535049812,8.63450006760883,9.85672014293664,9.75908841241419,8.62811882834949,7.61747235318224,11.0822892615454,13.4996131879348,8.39866911318406,8.04703692717158,11.7743287156647,7.82511823055591,11.3917477757545,9.12939529486155,6.91041845775218,8.76406879034482,8.82408799699447,7.90119597077394,7.16179380082405,9.40647942324902,7.75326023742726,9.57359917355388,12.3059605541717,9.6613575076102,8.74551760496331,6.94658334399929,10.682033482067,8.04129622288504,9.80250680640516,6.73726745922421,12.1789421745553,10.0481454337787,9.30086742195284,10.3552298219078,8.5944365750611,13.9673262462215,8.16480442772768,8.30175651426275,9.43277140412294,7.69721086751825,11.4637125771989,8.51524811228712,10.4578100872244,12.249258029745,7.73802316304154,9.95342390790095,11.3411769164409,10.2525145352958,11.2241924827976
"F30658_10",13.3774818131667,10.47498218139,11.2098607975835,9.63415255538652,9.38480901897707,8.36483972950028,8.01535536481539,9.79864801910156,8.40881693429687,8.79221032479568,8.84635642992203,9.21823010042644,10.300380896926,10.7327116448063,13.6816663954855,9.43365363626738,11.1637286912004,6.19644703127992,9.38798816616029,9.93923717021126,8.35995464673554,8.99686074975521,9.66304670558917,8.9495587164125,9.89992450290404,12.2578048524495,12.4096105977724,9.00808818151274,8.78211425638474,11.834477062286,11.1087549591604,9.76258685090435,9.78540818819318,7.35421013179427,7.92403727969585,10.4461368455752,10.2890296424832,9.71695226050973,7.22031963417961,7.57772530870323,11.0239230889384,13.6662400017223,8.9943232571149,8.99305121871628,9.37829688507158,7.49480901029774,12.0094734267833,9.27506391932145,7.06016716943327,8.04232335236133,9.43802937549422,9.16567337431533,8.20279275077843,10.7680962270804,8.47384783624367,10.1836108619068,12.7204778425171,9.60383885556815,9.3309072759642,7.92621049020074,10.3768088316525,8.95696506398811,10.5672705519225,8.1032037729046,11.9599834995212,10.4682419866571,9.44801092327236,11.0257075774363,8.81698568349868,13.7550124118351,8.65951873436082,8.8133640717643,10.7855083007277,7.72229412964367,11.3048827161173,9.04994574768702,10.1459593759113,12.0941408031582,8.25727134407715,9.88836789223726,12.2718027836841,11.1636702444025,11.7341112075859
