,strain,phase,start_time,end_time,delta_time,start_od,delta_od,area,best_model,r2,growth_rate_max,growth_rate_mean,specific_growth_rate_max,specific_growth_rate_mean
0,F22031,1,2.6,7.9,5.300000000000001,0.0034151799204472,0.1440693730630978,0.18724306057894544,EXP,0.9996118755449951,0.1152668176375235,0.027798900748263657,0.7830624230666791,0.7328781527132017
1,F22031,2,7.9,10.3,2.4000000000000004,0.14748455298354501,0.12915140031328692,0.5756281994577972,EXP,0.9671361163491257,0.157640750375462,0.06367582596764827,1.1377193699709187,0.31862048516217956
2,F22031,3,10.3,48.0,37.7,0.27663595329683194,-0.13980683816115194,6.7091048252702805,LGX,0.9993073579021676,0.000634017241222088,-0.003698227029185053,0.004611685746040273,-0.01856187006733323
3,F23197,1,1.2,7.4,6.2,0.0031947725295636397,0.11997639175925537,0.12144421851908338,EXP,0.9990176414173709,0.1405631212747492,0.020071000232025443,1.1465755345932493,0.5823003939271355
4,F23197,2,7.4,9.4,2.0,0.12317116428881901,0.15243668295977497,0.506473153593753,LGX,0.9985532514002644,0.4052366431480742,0.07493671279662985,2.063566024174343,0.3975498751169491
5,F23197,3,9.4,48.0,38.6,0.275607847248594,-0.11300878656609098,7.3855862606032625,EXP,0.7791079783989251,0.0017888404372219814,-0.0017890507149175051,0.007917482441865853,-0.009450811373971862
6,F30658,1,0.0,10.6,10.6,0.00110225716934245,0.12362727958763556,0.3009626235054285,EXP,0.9993817242568321,0.05345690301911943,0.011913677812791979,0.4216986352822744,0.3906334105378252
7,F30658,2,10.6,15.6,5.0,0.12472953675697801,0.08282360841265998,0.9302115926980119,GOM,0.9994348493206692,0.04186735435455822,0.016723082440252276,0.3318970571734546,0.10326621473841807
8,F30658,3,15.6,48.0,32.4,0.207553145169638,-0.045604136852964994,6.024023986728698,EXP,0.9677913780249723,0.0011614537528358308,-0.0013578447351987198,0.007037480499115545,-0.007293405132863902
9,F34365,1,2.6,6.8,4.199999999999999,0.00266513040242546,0.12998868772000552,0.12412796497247215,EXP,0.9982331916468117,0.150758648452299,0.03258511599451136,1.1157850569154522,0.9248151820037827
10,F34365,2,6.8,8.9,2.1000000000000005,0.132653818122431,0.19978806499233998,0.6242999087738186,GOM,0.9921149557618124,0.593270513242139,0.08657860081152673,2.684592973511882,0.37546166523010593
11,F34365,3,8.9,48.0,39.1,0.33244188311477096,-0.16359170796678596,7.874167271133762,LGX,0.9908994400879646,1.0931257694550122e-05,-0.003914285452973757,6.169543511838829e-05,-0.01591335308433254
12,F5677,1,1.1,5.7,4.6,0.0038261551627487797,0.08769407445209042,0.08320684514962488,EXP,0.9911128005054195,0.13350995546748246,0.019418299338625492,1.468735018358357,0.5773639766491566
13,F5677,2,5.7,8.0,2.3,0.0915202296148392,0.12653850137714184,0.44939705558689846,LGX,0.9808331399291481,0.20451023410711544,0.05581901712317674,1.3034761097798802,0.36070669446149023
14,F5677,3,8.0,48.0,40.0,0.21805873099198103,-0.06676829541853904,7.386678588921891,GOM,0.9646332090907075,0.00011728474136234346,-0.0018645260606620871,0.0006326976469288643,-0.009697580612162483
15,F63912,1,1.2,7.9,6.7,0.00335641792135945,0.11069695583490856,0.11827024672174975,EXP,0.9967887667630608,0.11997188432602766,0.016073758688195647,1.114432602096605,0.47620076627942515
16,F63912,2,7.9,9.9,2.0,0.114053373756268,0.19328990506787896,0.5658746876458033,LGX,0.9981060045328296,0.5374203860837622,0.0982014345724138,3.1937047469648356,0.5350497693122097
17,F63912,3,9.9,48.0,38.1,0.30734327882414697,-0.17470701982064998,6.673166534038238,LGX,0.9928658404115196,0.0002141286247452134,-0.004461480635116457,0.0015358435813691942,-0.02090662892893731
18,F9670,1,1.2,9.2,7.999999999999999,0.00363162535442925,0.09291402849475015,0.1438100049370315,EXP,0.9986110872411338,0.07794446647372986,0.012341768287947516,0.7848904853663461,0.425589690583292
19,F9670,2,9.2,11.6,2.4000000000000004,0.0965456538491794,0.10308752325612161,0.42033068322037104,EXP,0.9541428577177228,0.21663992810344365,0.0533721572255533,2.6875891663893565,0.4269079893886987
20,F9670,3,11.6,48.0,36.4,0.199633177105301,-0.044657758452184004,6.3553402536973564,LGX,0.9981780319313849,0.00039154712134874877,-0.0011793262366698088,0.0025010174699914285,-0.006655802158928014
21,H27930,1,1.2,8.4,7.2,0.0038045331242683,0.1899847465960957,0.24222886812730962,EXP,0.9978543020659645,0.1814655263887523,0.028810049141107637,0.8897206818136925,0.5909147294367616
22,H27930,2,8.4,11.1,2.6999999999999993,0.193789279720364,0.16724157328365305,0.8553595737570753,GOM,0.9861514372192738,0.16466703462047486,0.058610568290258,0.6371536037227115,0.211321631394295
23,H27930,3,11.1,48.0,36.9,0.36103085300401705,-0.13385624193403906,9.554640974959923,EXP,0.42170939014239683,0.002823445218415523,-0.002823846722203446,0.00907492762441501,-0.011053320348725937
24,H47921,1,4.9,6.9,2.0,0.0158287050564873,0.1277459624427617,0.09699667281539237,EXP,0.9980097308065843,0.23259910078198812,0.06472545183530569,1.6430120755579403,1.0312080320410633
25,H47921,2,6.9,9.0,2.0999999999999996,0.143574667499249,0.19162958423741602,0.6231105154194707,LGX,0.9978608711528139,0.29523820316889665,0.09017079556136481,1.4898326707360405,0.4114935435570591
26,H47921,3,9.0,48.0,39.0,0.335204251736665,-0.14747161824428803,8.731806102425221,GOM,0.9779429663837969,5.365717942110302e-05,-0.003447551143491888,0.0002690061508108243,-0.013204613197821834
27,H5708,1,5.2,7.1,1.8999999999999995,0.0141063871553541,0.1160097474050029,0.08769293558603403,EXP,0.9983763069858101,0.20894266312228155,0.06296562938420908,1.5994626378932544,1.107301446740189
28,H5708,2,7.1,9.2,2.0999999999999996,0.130116134560357,0.206494094356477,0.6405788220786994,EXP,0.9529642465021797,0.7775641790478918,0.12501106248606755,7.388043456240183,0.7280197852850467
29,H5708,3,9.2,48.0,38.8,0.336610228916834,-0.08656224488930098,10.071254086108876,LGX,0.971598408087783,9.043928645282627e-14,-0.0022403554366477525,3.610741148573403e-13,-0.007675536459239578
30,M1608,1,5.7,12.7,6.999999999999999,0.00369497915557885,0.11793232817765816,0.21243825725097254,EXP,0.997932676758825,0.08065281055673222,0.017821125573301577,0.6342059485648164,0.46843685612769476
31,M1608,2,12.7,14.8,2.1000000000000014,0.12162730733323701,0.09347327370216696,0.3804413818949713,EXP,0.8630518372148626,0.07059755646142717,0.05283591892179437,0.2923267466486428,0.2923267466486427
32,M1608,3,14.8,48.0,33.2,0.21510058103540397,-0.18079807660391706,2.2587103802997954,EXP,0.9939726926174033,5.3800240572504456e-05,-0.005315630089958002,0.0013080625165969363,-0.050104215432672544
33,M37351,1,3.2,7.7,4.5,0.00544106256937218,0.11703962090520281,0.13211516536648146,EXP,0.9955183935274633,0.12942323028360544,0.026710360430713165,1.0522441600376022,0.6434163661145468
34,M37351,2,7.7,9.9,2.2,0.122480683474575,0.11927677626666702,0.47529189362542895,GOM,0.9903062991866344,0.2456111097237602,0.05635332521455706,2.0511222396380955,0.343412674351611
35,M37351,3,9.9,48.0,38.1,0.24175745974124202,-0.10778790146112302,6.251341467955477,EXP,0.9886350850163451,0.00022596007412619518,-0.0033064020002916473,0.00166654376803974,-0.017234599428436262
36,M55212,1,4.1,9.6,5.5,0.00647282596545672,0.11733341735189527,0.13660380213792708,EXP,0.9644669462087297,0.08563154584674239,0.016777514156829106,0.8740118261149427,0.4470971687314788
